"","state_name","category","count","last_update","strata_type","data_type","metric"
"63","Alaska","UNKNOWN","0","05/18/2020","race","death","count"
"64","Alaska","WHITE","5","05/18/2020","race","death","count"
"65","Alaska","0-10","0","05/18/2020","age","death","count"
"66","Alaska","10-19","0","05/18/2020","age","death","count"
"67","Alaska","20-29","0","05/18/2020","age","death","count"
"68","Alaska","30-39","2","05/18/2020","age","death","count"
"69","Alaska","40-49","0","05/18/2020","age","death","count"
"70","Alaska","50-59","1","05/18/2020","age","death","count"
"71","Alaska","60-69","1","05/18/2020","age","death","count"
"72","Alaska","70-79","5","05/18/2020","age","death","count"
"73","Alaska","80+","1","05/18/2020","age","death","count"
"74","Alaska","UNKNOWN","0","05/18/2020","age","death","count"
"75","Alaska","FEMALE","5","05/18/2020","gender","death","count"
"76","Alaska","MALE","5","05/18/2020","gender","death","count"
"77","Alaska","UNKNOWN/OTHER","0","05/18/2020","gender","death","count"
"78","Alaska","AI/AN","6","05/18/2020","race","hosp","count"
"79","Alaska","ASIAN","7","05/18/2020","race","hosp","count"
"80","Alaska","BLACK","0","05/18/2020","race","hosp","count"
"81","Alaska","MULTI","0","05/18/2020","race","hosp","count"
"82","Alaska","WHITE","23","05/18/2020","race","hosp","count"
"83","Alaska","NA","7","05/18/2020","race","hosp","count"
"84","Alaska","0-10","0","05/18/2020","age","hosp","count"
"85","Alaska","10-19","0","05/18/2020","age","hosp","count"
"86","Alaska","20-29","3","05/18/2020","age","hosp","count"
"87","Alaska","30-39","5","05/18/2020","age","hosp","count"
"88","Alaska","40-49","2","05/18/2020","age","hosp","count"
"89","Alaska","50-59","8","05/18/2020","age","hosp","count"
"90","Alaska","60-69","9","05/18/2020","age","hosp","count"
"91","Alaska","70-79","13","05/18/2020","age","hosp","count"
"92","Alaska","80+","3","05/18/2020","age","hosp","count"
"93","Alaska","UNKNOWN","0","05/18/2020","age","hosp","count"
"94","Alaska","FEMALE","17","05/18/2020","gender","hosp","count"
"95","Alaska","MALE","26","05/18/2020","gender","hosp","count"
"96","Alaska","UNKNOWN/OTHER","0","05/18/2020","gender","hosp","count"
"97","Alaska",NA,"36380","05/18/2020","total","test","count"
"98","Alaska",NA,"399","05/18/2020","total","case","count"
"99","Alaska","Hispanic","38","05/18/2020","eth","case","count"
"100","Alaska","Non-Hispanic","341","05/18/2020","eth","case","count"
"101","Alaska","Unknown Ethnicity","20","05/18/2020","eth","case","count"
"102","Alaska","Community_Cases","113","05/18/2020","expr","extra","count"
"103","Alaska","Secondary_Cases","172","05/18/2020","expr","extra","count"
"104","Alaska","Travel_Cases","102","05/18/2020","expr","extra","count"
"105","Alaska","UI_Cases","12","05/18/2020","expr","extra","count"
"106","Alaska","Beds","2280","05/18/2020","All","extra","count"
"107","Alaska","Beds","1840","05/18/2020","Inpatient","extra","count"
"108","Alaska","Occup","907","05/18/2020","Inpatient","extra","count"
"109","Alaska","Avail","933","05/18/2020","Inpatient","extra","count"
"110","Alaska","Beds","195","05/18/2020","ICU","extra","count"
"111","Alaska","Occup","95","05/18/2020","ICU","extra","count"
"112","Alaska","Avail","100","05/18/2020","ICU","extra","count"
"113","Alaska","COVID_PUI_Pending","9","05/18/2020","Pos","extra","count"
"114","Alaska","Cap","346","05/18/2020","Vent","extra","count"
"115","Alaska","Avail","298","05/18/2020","Vent","extra","count"
"116","Alaska","Occup","48","05/18/2020","Vent","extra","count"
"117","Arizona","AI/AN","1721","05/19/2020","race","case","count"
"118","Arizona","ASIAN","157","05/19/2020","race","case","count"
"119","Arizona","BLACK","464","05/19/2020","race","case","count"
"120","Arizona","MULTI","0","05/19/2020","race","case","count"
"121","Arizona","OTHER","299","05/19/2020","race","case","count"
"122","Arizona","UNKNOWN","6066","05/19/2020","race","case","count"
"123","Arizona","WHITE","3162","05/19/2020","race","case","count"
"124","Arizona","0-19","1179","05/19/2020","age","case","count"
"125","Arizona","20-44","5663","05/19/2020","age","case","count"
"126","Arizona","45-54","2447","05/19/2020","age","case","count"
"127","Arizona","55-64","2177","05/19/2020","age","case","count"
"128","Arizona","65+","3091","05/19/2020","age","case","count"
"129","Arizona","UNKNOWN","9","05/19/2020","age","case","count"
"130","Arizona","FEMALE","7656","05/19/2020","gender","case","count"
"131","Arizona","MALE","6880","05/19/2020","gender","case","count"
"132","Arizona","UNKNOWN/OTHER","0","05/19/2020","gender","case","count"
"133","Arizona","AI/AN","119","05/19/2020","race","death","count"
"134","Arizona","ASIAN","8","05/19/2020","race","death","count"
"135","Arizona","BLACK","23","05/19/2020","race","death","count"
"136","Arizona","MULTI","0","05/19/2020","race","death","count"
"137","Arizona","OTHER","11","05/19/2020","race","death","count"
"138","Arizona","UNKNOWN","139","05/19/2020","race","death","count"
"139","Arizona","WHITE","292","05/19/2020","race","death","count"
"140","Arizona","0-19","1","05/19/2020","age","death","count"
"141","Arizona","20-44","28","05/19/2020","age","death","count"
"142","Arizona","45-54","36","05/19/2020","age","death","count"
"143","Arizona","55-64","79","05/19/2020","age","death","count"
"144","Arizona","65+","560","05/19/2020","age","death","count"
"145","Arizona","UNKNOWN","0","05/19/2020","age","death","count"
"146","Arizona","FEMALE","321","05/19/2020","gender","death","count"
"147","Arizona","MALE","382","05/19/2020","gender","death","count"
"148","Arizona","UNKNOWN/OTHER","0","05/19/2020","gender","death","count"
"149","Arizona","AI/AN","182","05/19/2020","race","hosp","count"
"150","Arizona","ASIAN","35","05/19/2020","race","hosp","count"
"151","Arizona","BLACK","91","05/19/2020","race","hosp","count"
"152","Arizona","MULTI","0","05/19/2020","race","hosp","count"
"153","Arizona","WHITE","692","05/19/2020","race","hosp","count"
"154","Arizona","NA","282","05/19/2020","race","hosp","count"
"155","Arizona","0-19","16","05/19/2020","age","hosp","count"
"156","Arizona","20-44","333","05/19/2020","age","hosp","count"
"157","Arizona","45-54","271","05/19/2020","age","hosp","count"
"158","Arizona","55-64","336","05/19/2020","age","hosp","count"
"159","Arizona","65+","790","05/19/2020","age","hosp","count"
"160","Arizona","UNKNOWN","0","05/19/2020","age","hosp","count"
"161","Arizona","FEMALE","824","05/19/2020","gender","hosp","count"
"162","Arizona","MALE","922","05/19/2020","gender","hosp","count"
"163","Arizona","UNKNOWN/OTHER","0","05/19/2020","gender","hosp","count"
"164","Arizona",NA,"220612","05/19/2020","total","test","count"
"165","Arizona",NA,"14566","05/19/2020","total","case","count"
"166","Arkansas","AI","13","05/18/2020","race","case","count"
"167","Arkansas","ASIAN","55","05/18/2020","race","case","count"
"168","Arkansas","BLACK","1796","05/18/2020","race","case","count"
"169","Arkansas","HISPANIC","278","05/18/2020","race","case","count"
"170","Arkansas","MULTI","35","05/18/2020","race","case","count"
"171","Arkansas","OTHER","187","05/18/2020","race","case","count"
"172","Arkansas","PI","92","05/18/2020","race","case","count"
"173","Arkansas","UNKNOWN","268","05/18/2020","race","case","count"
"174","Arkansas","WHITE","2367","05/18/2020","race","case","count"
"175","Arkansas","0-17","193","05/18/2020","age","case","count"
"176","Arkansas","18-24","416","05/18/2020","age","case","count"
"177","Arkansas","25-44","1899","05/18/2020","age","case","count"
"178","Arkansas","45-64","1565","05/18/2020","age","case","count"
"179","Arkansas","65+","740","05/18/2020","age","case","count"
"180","Arkansas","FEMALE","0.38","05/18/2020","gender","case","percent"
"181","Arkansas","MALE","0.612","05/18/2020","gender","case","percent"
"182","Arkansas",NA,"105807","05/18/2020","total","test","count"
"183","Arkansas",NA,"4923","05/18/2020","total","case","count"
"184","Arkansas","hosp","6","05/18/2020","curr","extra","count"
"185","Arkansas",NA,"5","05/18/2020","recovered","extra","count"
"186","Arkansas","cases","2","05/18/2020","active","extra","count"
"187","Arkansas","vent","3","05/18/2020","curr","extra","count"
"188","Arkansas","vent","1","05/18/2020","ever","extra","count"
"189","Arkansas","home_res","4","05/18/2020","nursing","extra","count"
"190","California","AI/AN","111","05/18/2020","race","case","count"
"191","California","ASIAN","6003","05/18/2020","race","case","count"
"192","California","BLACK","3334","05/18/2020","race","case","count"
"193","California","HISPANIC","30391","05/18/2020","race","case","count"
"194","California","MULTI","504","05/18/2020","race","case","count"
"195","California","NH/PI","542","05/18/2020","race","case","count"
"196","California","OTHER","2984","05/18/2020","race","case","count"
"197","California","PENDING","24966","05/18/2020","race","case","count"
"198","California","WHITE","12960","05/18/2020","race","case","count"
"199","California","0-17","3446","05/18/2020","age","case","count"
"200","California","18-49","20939","05/18/2020","age","case","count"
"201","California","50-64","20382","05/18/2020","age","case","count"
"202","California","65+","20003","05/18/2020","age","case","count"
"203","California","AI/AN","14","05/18/2020","race","death","count"
"204","California","ASIAN","475","05/18/2020","race","death","count"
"205","California","BLACK","323","05/18/2020","race","death","count"
"206","California","HISPANIC","1187","05/18/2020","race","death","count"
"207","California","MULTI","21","05/18/2020","race","death","count"
"208","California","NH/PI","27","05/18/2020","race","death","count"
"209","California","OTHER","35","05/18/2020","race","death","count"
"210","California","PENDING","72","05/18/2020","race","death","count"
"211","California","WHITE","1096","05/18/2020","race","death","count"
"212","California","0-17","0","05/18/2020","age","death","count"
"213","California","18-49","32","05/18/2020","age","death","count"
"214","California","50-64","158","05/18/2020","age","death","count"
"215","California","65+","483","05/18/2020","age","death","count"
"216","California",NA,"81795","05/18/2020","total","case","count"
"217","Colorado","HISPANIC","0.3554","05/19/2020","race","case","percent"
"218","Colorado","NH AI/AN","0.0044","05/19/2020","race","case","percent"
"219","Colorado","NH ASIAN","0.0278","05/19/2020","race","case","percent"
"220","Colorado","NH BLACK","0.0613","05/19/2020","race","case","percent"
"221","Colorado","NH MULTI","0.0073","05/19/2020","race","case","percent"
"222","Colorado","NH NH/PI","0.004","05/19/2020","race","case","percent"
"223","Colorado","NH WHITE","0.3584","05/19/2020","race","case","percent"
"224","Colorado","OTHER","0.0093","05/19/2020","race","case","percent"
"225","Colorado","UNKNOWN","0.172","05/19/2020","race","case","percent"
"226","Colorado","0-9","456","05/19/2020","age","case","count"
"227","Colorado","10-19","925","05/19/2020","age","case","count"
"228","Colorado","20-29","3447","05/19/2020","age","case","count"
"229","Colorado","30-39","3860","05/19/2020","age","case","count"
"230","Colorado","40-49","3895","05/19/2020","age","case","count"
"231","Colorado","50-59","3686","05/19/2020","age","case","count"
"232","Colorado","60-69","2670","05/19/2020","age","case","count"
"233","Colorado","70-79","1690","05/19/2020","age","case","count"
"234","Colorado","80+","1798","05/19/2020","age","case","count"
"235","Colorado","UNKNOWN","55","05/19/2020","age","case","count"
"236","Colorado","FEMALE","0.5059","05/19/2020","gender","case","percent"
"237","Colorado","MALE","0.4846","05/19/2020","gender","case","percent"
"238","Colorado","UNKNOWN/OTHER","0.0096","05/19/2020","gender","case","percent"
"239","Colorado","HISPANIC","0.1901","05/19/2020","race","death","percent"
"240","Colorado","NH AI/AN","0.0056","05/19/2020","race","death","percent"
"241","Colorado","NH ASIAN","0.0398","05/19/2020","race","death","percent"
"242","Colorado","NH BLACK","0.0684","05/19/2020","race","death","percent"
"243","Colorado","NH MULTI","0.008","05/19/2020","race","death","percent"
"244","Colorado","NH NH/PI","0.0032","05/19/2020","race","death","percent"
"245","Colorado","NH WHITE","0.6468","05/19/2020","race","death","percent"
"246","Colorado","OTHER","0.0056","05/19/2020","race","death","percent"
"247","Colorado","UNKNOWN","0.0326","05/19/2020","race","death","percent"
"248","Colorado","10-19","2","05/19/2020","age","death","count"
"249","Colorado","20-29","7","05/19/2020","age","death","count"
"250","Colorado","30-39","7","05/19/2020","age","death","count"
"251","Colorado","40-49","31","05/19/2020","age","death","count"
"252","Colorado","50-59","66","05/19/2020","age","death","count"
"253","Colorado","60-69","167","05/19/2020","age","death","count"
"254","Colorado","70-79","290","05/19/2020","age","death","count"
"255","Colorado","80+","687","05/19/2020","age","death","count"
"256","Colorado","FEMALE","0.4368","05/19/2020","gender","death","percent"
"257","Colorado","MALE","0.5593","05/19/2020","gender","death","percent"
"258","Colorado","UNKNOWN/OTHER","0.004","05/19/2020","gender","death","percent"
"259","Colorado","0-9","33","05/19/2020","age","hosp","count"
"260","Colorado","10-19","31","05/19/2020","age","hosp","count"
"261","Colorado","20-29","172","05/19/2020","age","hosp","count"
"262","Colorado","30-39","327","05/19/2020","age","hosp","count"
"263","Colorado","40-49","488","05/19/2020","age","hosp","count"
"264","Colorado","50-59","701","05/19/2020","age","hosp","count"
"265","Colorado","60-69","702","05/19/2020","age","hosp","count"
"266","Colorado","70-79","520","05/19/2020","age","hosp","count"
"267","Colorado","80+","341","05/19/2020","age","hosp","count"
"268","Colorado",NA,"20304","05/19/2020","total","case","count"
"269","Connecticut","HISPANIC","6669","05/18/2020","race","case","count"
"270","Connecticut","NH AI/AN","38","05/18/2020","race","case","count"
"271","Connecticut","NH ASIAN/PI","561","05/18/2020","race","case","count"
"272","Connecticut","NH BLACK","4788","05/18/2020","race","case","count"
"273","Connecticut","NH MULTI","66","05/18/2020","race","case","count"
"274","Connecticut","NH OTHER","193","05/18/2020","race","case","count"
"275","Connecticut","NH WHITE","12185","05/18/2020","race","case","count"
"276","Connecticut","UNKNOWN","13930","05/18/2020","race","case","count"
"277","Connecticut","0-9","386","05/18/2020","age","case","count"
"278","Connecticut","10-19","897","05/18/2020","age","case","count"
"279","Connecticut","20-29","4264","05/18/2020","age","case","count"
"280","Connecticut","30-39","5340","05/18/2020","age","case","count"
"281","Connecticut","40-49","5475","05/18/2020","age","case","count"
"282","Connecticut","50-59","6739","05/18/2020","age","case","count"
"283","Connecticut","60-69","5686","05/18/2020","age","case","count"
"284","Connecticut","70-79","3772","05/18/2020","age","case","count"
"285","Connecticut","80+","5748","05/18/2020","age","case","count"
"286","Connecticut","FEMALE","21019","05/18/2020","gender","case","count"
"287","Connecticut","MALE","17231","05/18/2020","gender","case","count"
"288","Connecticut","HISPANIC","294","05/18/2020","race","death","count"
"289","Connecticut","NH AI/AN","1","05/18/2020","race","death","count"
"290","Connecticut","NH ASIAN/PI","35","05/18/2020","race","death","count"
"291","Connecticut","NH BLACK","512","05/18/2020","race","death","count"
"292","Connecticut","NH MULTI","13","05/18/2020","race","death","count"
"293","Connecticut","NH OTHER","15","05/18/2020","race","death","count"
"294","Connecticut","NH WHITE","2520","05/18/2020","race","death","count"
"295","Connecticut","UNKNOWN","82","05/18/2020","race","death","count"
"296","Connecticut","0-9","1","05/18/2020","age","death","count"
"297","Connecticut","10-19","1","05/18/2020","age","death","count"
"298","Connecticut","20-29","4","05/18/2020","age","death","count"
"299","Connecticut","30-39","20","05/18/2020","age","death","count"
"300","Connecticut","40-49","51","05/18/2020","age","death","count"
"301","Connecticut","50-59","143","05/18/2020","age","death","count"
"302","Connecticut","60-69","433","05/18/2020","age","death","count"
"303","Connecticut","70-79","749","05/18/2020","age","death","count"
"304","Connecticut","80+","2068","05/18/2020","age","death","count"
"305","Connecticut","FEMALE","1752","05/18/2020","gender","death","count"
"306","Connecticut","MALE","1714","05/18/2020","gender","death","count"
"307","Connecticut",NA,"185520","05/18/2020","total","test","count"
"308","Connecticut",NA,"38430","05/18/2020","total","case","count"
"309","Connecticut",NA,"//data.ct.gov/Health-and-Human-Services/COVID-19-Daily-DPH-Reports-Library/bqve-e8um","05/18/2020","No race dataset https","extra","count"
"310","Connecticut","hosp","914","05/18/2020","curr","extra","count"
"311","Delaware","ASIAN/PI","117","05/19/2020","race","case","count"
"312","Delaware","HISPANIC","2221","05/19/2020","race","case","count"
"313","Delaware","MULTI","421","05/19/2020","race","case","count"
"314","Delaware","NH BLACK","2168","05/19/2020","race","case","count"
"315","Delaware","NH WHITE","2260","05/19/2020","race","case","count"
"316","Delaware","UNKNOWN","850","05/19/2020","race","case","count"
"317","Delaware","0-4","94","05/19/2020","age","case","count"
"318","Delaware","5-17","368","05/19/2020","age","case","count"
"319","Delaware","18-34","2085","05/19/2020","age","case","count"
"320","Delaware","35-49","2102","05/19/2020","age","case","count"
"321","Delaware","50-64","1895","05/19/2020","age","case","count"
"322","Delaware","65+","1493","05/19/2020","age","case","count"
"323","Delaware","FEMALE","4407","05/19/2020","gender","case","count"
"324","Delaware","MALE","3602","05/19/2020","gender","case","count"
"325","Delaware","UNKNOWN/OTHER","28","05/19/2020","gender","case","count"
"326","Delaware","ASIAN/PI","1","05/19/2020","race","death","count"
"327","Delaware","HISPANIC","22","05/19/2020","race","death","count"
"328","Delaware","MULTI","3","05/19/2020","race","death","count"
"329","Delaware","NH BLACK","73","05/19/2020","race","death","count"
"330","Delaware","NH WHITE","185","05/19/2020","race","death","count"
"331","Delaware","UNKNOWN","20","05/19/2020","race","death","count"
"332","Delaware","0-4","0","05/19/2020","age","death","count"
"333","Delaware","5-17","0","05/19/2020","age","death","count"
"334","Delaware","18-34","8","05/19/2020","age","death","count"
"335","Delaware","35-49","8","05/19/2020","age","death","count"
"336","Delaware","50-64","46","05/19/2020","age","death","count"
"337","Delaware","65+","242","05/19/2020","age","death","count"
"338","Delaware","FEMALE","158","05/19/2020","gender","death","count"
"339","Delaware","MALE","146","05/19/2020","gender","death","count"
"340","Delaware",NA,"44132","05/19/2020","total","test","count"
"341","Delaware","Non-Hispanic White","17722","05/19/2020","race","test","count"
"342","Delaware","Non-Hispanic Black","9938","05/19/2020","race","test","count"
"343","Delaware","Hispanic/Latino","5032","05/19/2020","race","test","count"
"344","Delaware","Another/Multiple","2600","05/19/2020","race","test","count"
"345","Delaware","Asian/Pacific Islander","653","05/19/2020","race","test","count"
"346","Delaware","Unknown**","8187","05/19/2020","race","test","count"
"347","Delaware",NA,"8037","05/19/2020","total","case","count"
"348","Delaware",NA,"1","05/19/2020","Current Hospitalizations","extra","count"
"349","Delaware",NA,"2","05/19/2020","Recovered","extra","count"
"350","Florida","AI/AN","0","05/19/2020","race","case","count"
"351","Florida","ASIAN","0","05/19/2020","race","case","count"
"352","Florida","BLACK","9384","05/19/2020","race","case","count"
"353","Florida","MULTI","0","05/19/2020","race","case","count"
"354","Florida","OTHER","4152","05/19/2020","race","case","count"
"355","Florida","UNKNOWN","6986","05/19/2020","race","case","count"
"356","Florida","WHITE","25162","05/19/2020","race","case","count"
"357","Florida","0-4","305","05/19/2020","age","case","count"
"358","Florida","5-14","656","05/19/2020","age","case","count"
"359","Florida","15-24","3628","05/19/2020","age","case","count"
"360","Florida","25-34","6875","05/19/2020","age","case","count"
"361","Florida","35-44","6874","05/19/2020","age","case","count"
"362","Florida","45-54","7958","05/19/2020","age","case","count"
"363","Florida","55-64","7596","05/19/2020","age","case","count"
"364","Florida","65-74","5485","05/19/2020","age","case","count"
"365","Florida","75-84","3746","05/19/2020","age","case","count"
"366","Florida","85+","2555","05/19/2020","age","case","count"
"367","Florida","UNKNOWN","6","05/19/2020","age","case","count"
"368","Florida","FEMALE","23239","05/19/2020","gender","case","count"
"369","Florida","MALE","22445","05/19/2020","gender","case","count"
"370","Florida","UNKNOWN/OTHER","0","05/19/2020","gender","case","count"
"371","Florida","AI/AN","0","05/19/2020","race","death","count"
"372","Florida","ASIAN","0","05/19/2020","race","death","count"
"373","Florida","BLACK","447","05/19/2020","race","death","count"
"374","Florida","MULTI","0","05/19/2020","race","death","count"
"375","Florida","OTHER","127","05/19/2020","race","death","count"
"376","Florida","UNKNOWN","80","05/19/2020","race","death","count"
"377","Florida","WHITE","1398","05/19/2020","race","death","count"
"378","Florida","0-4","0","05/19/2020","age","death","count"
"379","Florida","5-14","0","05/19/2020","age","death","count"
"380","Florida","15-24","0","05/19/2020","age","death","count"
"381","Florida","25-34","13","05/19/2020","age","death","count"
"382","Florida","35-44","33","05/19/2020","age","death","count"
"383","Florida","45-54","77","05/19/2020","age","death","count"
"384","Florida","55-64","190","05/19/2020","age","death","count"
"385","Florida","65-74","449","05/19/2020","age","death","count"
"386","Florida","75-84","617","05/19/2020","age","death","count"
"387","Florida","85+","673","05/19/2020","age","death","count"
"388","Florida","UNKNOWN","0","05/19/2020","age","death","count"
"389","Florida","AI/AN","0","05/19/2020","race","hosp","count"
"390","Florida","ASIAN","0","05/19/2020","race","hosp","count"
"391","Florida","BLACK","2256","05/19/2020","race","hosp","count"
"392","Florida","MULTI","0","05/19/2020","race","hosp","count"
"393","Florida","WHITE","5146","05/19/2020","race","hosp","count"
"394","Florida","NA","1092","05/19/2020","race","hosp","count"
"395","Florida","0-4","19","05/19/2020","age","hosp","count"
"396","Florida","5-14","17","05/19/2020","age","hosp","count"
"397","Florida","15-24","128","05/19/2020","age","hosp","count"
"398","Florida","25-34","416","05/19/2020","age","hosp","count"
"399","Florida","35-44","693","05/19/2020","age","hosp","count"
"400","Florida","45-54","1072","05/19/2020","age","hosp","count"
"401","Florida","55-64","1494","05/19/2020","age","hosp","count"
"402","Florida","65-74","1792","05/19/2020","age","hosp","count"
"403","Florida","75-84","1663","05/19/2020","age","hosp","count"
"404","Florida","85+","1200","05/19/2020","age","hosp","count"
"405","Florida","UNKNOWN","0","05/19/2020","age","hosp","count"
"406","Florida",NA,"717162","05/19/2020","total","test","count"
"407","Florida",NA,"45684","05/19/2020","total","case","count"
"408","Florida",NA,"Age data only available in images on site","05/19/2020","total","extra","count"
"409","Georgia","AI/AN","48","05/19/2020","race","case","count"
"410","Georgia","ASIAN","567","05/19/2020","race","case","count"
"411","Georgia","BLACK","13493","05/19/2020","race","case","count"
"412","Georgia","NH/PI","25","05/19/2020","race","case","count"
"413","Georgia","OTHER","2337","05/19/2020","race","case","count"
"414","Georgia","UNKNOWN","10403","05/19/2020","race","case","count"
"415","Georgia","WHITE","11982","05/19/2020","race","case","count"
"416","Georgia","AI/AN","4","05/19/2020","race","death","count"
"417","Georgia","ASIAN","28","05/19/2020","race","death","count"
"418","Georgia","BLACK","822","05/19/2020","race","death","count"
"419","Georgia","NH/PI","2","05/19/2020","race","death","count"
"420","Georgia","OTHER","22","05/19/2020","race","death","count"
"421","Georgia","UNKNOWN","27","05/19/2020","race","death","count"
"422","Georgia","WHITE","770","05/19/2020","race","death","count"
"423","Georgia",".","1","05/19/2020","age","death","count"
"424","Georgia","22","2","05/19/2020","age","death","count"
"425","Georgia","25","1","05/19/2020","age","death","count"
"426","Georgia","26","2","05/19/2020","age","death","count"
"427","Georgia","27","1","05/19/2020","age","death","count"
"428","Georgia","28","1","05/19/2020","age","death","count"
"429","Georgia","29","3","05/19/2020","age","death","count"
"430","Georgia","30","2","05/19/2020","age","death","count"
"431","Georgia","31","4","05/19/2020","age","death","count"
"432","Georgia","32","2","05/19/2020","age","death","count"
"433","Georgia","33","6","05/19/2020","age","death","count"
"434","Georgia","34","6","05/19/2020","age","death","count"
"435","Georgia","35","1","05/19/2020","age","death","count"
"436","Georgia","36","3","05/19/2020","age","death","count"
"437","Georgia","37","2","05/19/2020","age","death","count"
"438","Georgia","38","2","05/19/2020","age","death","count"
"439","Georgia","39","1","05/19/2020","age","death","count"
"440","Georgia","40","2","05/19/2020","age","death","count"
"441","Georgia","42","3","05/19/2020","age","death","count"
"442","Georgia","43","4","05/19/2020","age","death","count"
"443","Georgia","44","7","05/19/2020","age","death","count"
"444","Georgia","45","8","05/19/2020","age","death","count"
"445","Georgia","46","7","05/19/2020","age","death","count"
"446","Georgia","47","3","05/19/2020","age","death","count"
"447","Georgia","48","13","05/19/2020","age","death","count"
"448","Georgia","49","13","05/19/2020","age","death","count"
"449","Georgia","50","9","05/19/2020","age","death","count"
"450","Georgia","51","6","05/19/2020","age","death","count"
"451","Georgia","52","6","05/19/2020","age","death","count"
"452","Georgia","53","16","05/19/2020","age","death","count"
"453","Georgia","54","15","05/19/2020","age","death","count"
"454","Georgia","55","12","05/19/2020","age","death","count"
"455","Georgia","56","19","05/19/2020","age","death","count"
"456","Georgia","57","14","05/19/2020","age","death","count"
"457","Georgia","58","22","05/19/2020","age","death","count"
"458","Georgia","59","19","05/19/2020","age","death","count"
"459","Georgia","60","20","05/19/2020","age","death","count"
"460","Georgia","61","27","05/19/2020","age","death","count"
"461","Georgia","62","30","05/19/2020","age","death","count"
"462","Georgia","63","41","05/19/2020","age","death","count"
"463","Georgia","64","27","05/19/2020","age","death","count"
