"state_name","category","count","last_update","strata_type","data_type","metric","pop_est"
"Alaska","60-69","55","05/20/2020","age","case","count",80434
"Alaska","70-79","27","05/20/2020","age","case","count",37370
"Alaska","80+","8","05/20/2020","age","case","count",14563
"Alaska","UNKNOWN","0","05/20/2020","age","case","count",NA
"Alaska","FEMALE","197","05/20/2020","gender","case","count",352865
"Alaska","MALE","205","05/20/2020","gender","case","count",384573
"Alaska","UNKNOWN/OTHER","0","05/20/2020","gender","case","count",NA
"Alaska","AI/AN","2","05/20/2020","race","death","count",NA
"Alaska","ASIAN","2","05/20/2020","race","death","count",NA
"Alaska","BLACK","0","05/20/2020","race","death","count",NA
"Alaska","MULTI","0","05/20/2020","race","death","count",NA
"Alaska","NH/PI","1","05/20/2020","race","death","count",NA
"Alaska","OTHER","0","05/20/2020","race","death","count",NA
"Alaska","UNKNOWN","0","05/20/2020","race","death","count",NA
"Alaska","WHITE","5","05/20/2020","race","death","count",NA
"Alaska","0-10","0","05/20/2020","age","death","count",115416
"Alaska","10-19","0","05/20/2020","age","death","count",96022
"Alaska","20-29","0","05/20/2020","age","death","count",114672
"Alaska","30-39","2","05/20/2020","age","death","count",108865
"Alaska","40-49","0","05/20/2020","age","death","count",86536
"Alaska","50-59","1","05/20/2020","age","death","count",93805
"Alaska","60-69","1","05/20/2020","age","death","count",80434
"Alaska","70-79","5","05/20/2020","age","death","count",37370
"Alaska","80+","1","05/20/2020","age","death","count",14563
"Alaska","UNKNOWN","0","05/20/2020","age","death","count",NA
"Alaska","FEMALE","5","05/20/2020","gender","death","count",352865
"Alaska","MALE","5","05/20/2020","gender","death","count",384573
"Alaska","UNKNOWN/OTHER","0","05/20/2020","gender","death","count",NA
"Alaska","AI/AN","6","05/20/2020","race","hosp","count",NA
"Alaska","ASIAN","7","05/20/2020","race","hosp","count",NA
"Alaska","BLACK","0","05/20/2020","race","hosp","count",NA
"Alaska","MULTI","0","05/20/2020","race","hosp","count",NA
"Alaska","NH/PI","4","05/20/2020","race","hosp","count",NA
"Alaska","OTHER","4","05/20/2020","race","hosp","count",NA
"Alaska","UNKNOWN","0","05/20/2020","race","hosp","count",NA
"Alaska","WHITE","23","05/20/2020","race","hosp","count",NA
"Alaska","0-10","0","05/20/2020","age","hosp","count",115416
"Alaska","10-19","1","05/20/2020","age","hosp","count",96022
"Alaska","20-29","3","05/20/2020","age","hosp","count",114672
"Alaska","30-39","5","05/20/2020","age","hosp","count",108865
"Alaska","40-49","2","05/20/2020","age","hosp","count",86536
"Alaska","50-59","8","05/20/2020","age","hosp","count",93805
"Alaska","60-69","9","05/20/2020","age","hosp","count",80434
"Alaska","70-79","13","05/20/2020","age","hosp","count",37370
"Alaska","80+","3","05/20/2020","age","hosp","count",14563
"Alaska","UNKNOWN","0","05/20/2020","age","hosp","count",NA
"Alaska","FEMALE","18","05/20/2020","gender","hosp","count",352865
"Alaska","MALE","26","05/20/2020","gender","hosp","count",384573
"Alaska","UNKNOWN/OTHER","0","05/20/2020","gender","hosp","count",NA
"Alaska","","39545","05/20/2020","total","test","count",737438
"Alaska","","402","05/20/2020","total","case","count",737438
"Alaska","HISPANIC","38","05/20/2020","eth","case","count",53288
"Alaska","NON HISPANIC","344","05/20/2020","eth","case","count",684150
"Alaska","UNKNOWN","20","05/20/2020","eth","case","count",NA
"Alaska","","10","05/20/2020","total","death","count",737438
"Alaska","HISPANIC","0","05/20/2020","eth","death","count",53288
"Alaska","NON HISPANIC","10","05/20/2020","eth","death","count",684150
"Alaska","UNKNOWN","0","05/20/2020","eth","death","count",NA
"Alaska","","44","05/20/2020","total","hosp","count",737438
"Alaska","HISPANIC","4","05/20/2020","eth","hosp","count",53288
"Alaska","NON HISPANIC","38","05/20/2020","eth","hosp","count",684150
"Alaska","UNKNOWN","2","05/20/2020","eth","hosp","count",NA
"Arizona","AI/AN","1819","05/22/2020","race","case","count",NA
"Arizona","ASIAN","169","05/22/2020","race","case","count",NA
"Arizona","BLACK","493","05/22/2020","race","case","count",NA
"Arizona","MULTI","0","05/22/2020","race","case","count",NA
"Arizona","OTHER","343","05/22/2020","race","case","count",NA
"Arizona","UNKNOWN","6298","05/22/2020","race","case","count",NA
"Arizona","WHITE","3276","05/22/2020","race","case","count",NA
"Arizona","0-19","1281","05/22/2020","age","case","count",1837877
"Arizona","20-44","5999","05/22/2020","age","case","count",2358452
"Arizona","45-54","2550","05/22/2020","age","case","count",850790
"Arizona","55-64","2271","05/22/2020","age","case","count",866277
"Arizona","65+","3205","05/22/2020","age","case","count",1258250
"Arizona","UNKNOWN","9","05/22/2020","age","case","count",NA
"Arizona","FEMALE","8082","05/22/2020","gender","case","count",3606307
"Arizona","MALE","7204","05/22/2020","gender","case","count",3565339
"Arizona","UNKNOWN/OTHER","0","05/22/2020","gender","case","count",NA
"Arizona","AI/AN","126","05/22/2020","race","death","count",NA
"Arizona","ASIAN","10","05/22/2020","race","death","count",NA
"Arizona","BLACK","23","05/22/2020","race","death","count",NA
"Arizona","MULTI","0","05/22/2020","race","death","count",NA
"Arizona","OTHER","11","05/22/2020","race","death","count",NA
"Arizona","UNKNOWN","159","05/22/2020","race","death","count",NA
"Arizona","WHITE","313","05/22/2020","race","death","count",NA
"Arizona","0-19","2","05/22/2020","age","death","count",1837877
"Arizona","20-44","28","05/22/2020","age","death","count",2358452
"Arizona","45-54","38","05/22/2020","age","death","count",850790
"Arizona","55-64","93","05/22/2020","age","death","count",866277
"Arizona","65+","602","05/22/2020","age","death","count",1258250
"Arizona","UNKNOWN","0","05/22/2020","age","death","count",NA
"Arizona","FEMALE","345","05/22/2020","gender","death","count",3606307
"Arizona","MALE","417","05/22/2020","gender","death","count",3565339
"Arizona","UNKNOWN/OTHER","0","05/22/2020","gender","death","count",NA
"Arizona","AI/AN","190","05/22/2020","race","hosp","count",NA
"Arizona","ASIAN","37","05/22/2020","race","hosp","count",NA
"Arizona","BLACK","95","05/22/2020","race","hosp","count",NA
"Arizona","MULTI","0","05/22/2020","race","hosp","count",NA
"Arizona","OTHER","44","05/22/2020","race","hosp","count",NA
"Arizona","UNKNOWN","252","05/22/2020","race","hosp","count",NA
"Arizona","WHITE","724","05/22/2020","race","hosp","count",NA
"Arizona","0-19","17","05/22/2020","age","hosp","count",1837877
"Arizona","20-44","346","05/22/2020","age","hosp","count",2358452
"Arizona","45-54","288","05/22/2020","age","hosp","count",850790
"Arizona","55-64","348","05/22/2020","age","hosp","count",866277
"Arizona","65+","831","05/22/2020","age","hosp","count",1258250
"Arizona","UNKNOWN","0","05/22/2020","age","hosp","count",NA
"Arizona","FEMALE","862","05/22/2020","gender","hosp","count",3606307
"Arizona","MALE","968","05/22/2020","gender","hosp","count",3565339
"Arizona","UNKNOWN/OTHER","0","05/22/2020","gender","hosp","count",NA
"Arizona","","237417","05/22/2020","total","test","count",7171646
"Arizona","","15315","05/22/2020","total","case","count",7171646
"Arizona","","763","05/22/2020","total","death","count",7171646
"Arkansas","","113133","05/21/2020","total","test","count",3013825
"Arkansas","","5458","05/21/2020","total","case","count",3013825
"Arkansas","","110","05/21/2020","total","death","count",3013825
"Arkansas","","584","05/21/2020","total","hosp","count",3013825
"California","AI/AN","120","05/20/2020","race","case","count",NA
"California","ASIAN","6210","05/20/2020","race","case","count",NA
"California","BLACK","3465","05/20/2020","race","case","count",NA
"California","HISPANIC","32662","05/20/2020","race","case","count",NA
"California","MULTI","527","05/20/2020","race","case","count",NA
"California","NH/PI","553","05/20/2020","race","case","count",NA
"California","OTHER","3070","05/20/2020","race","case","count",NA
"California","PENDING","26153","05/20/2020","race","case","count",NA
"California","WHITE","13437","05/20/2020","race","case","count",NA
"California","0-17","3855","05/20/2020","age","case","count",8989955
"California","18-49","22234","05/20/2020","age","case","count",17612948
"California","50-64","21515","05/20/2020","age","case","count",7285117
"California","65+","20967","05/20/2020","age","case","count",5669025
"California","AI/AN","14","05/20/2020","race","death","count",NA
"California","ASIAN","508","05/20/2020","race","death","count",NA
"California","BLACK","344","05/20/2020","race","death","count",NA
"California","HISPANIC","1271","05/20/2020","race","death","count",NA
"California","MULTI","23","05/20/2020","race","death","count",NA
"California","NH/PI","27","05/20/2020","race","death","count",NA
"California","OTHER","36","05/20/2020","race","death","count",NA
"California","PENDING","70","05/20/2020","race","death","count",NA
"California","WHITE","1158","05/20/2020","race","death","count",NA
"California","0-17","0","05/20/2020","age","death","count",8989955
"California","18-49","35","05/20/2020","age","death","count",17612948
"California","50-64","163","05/20/2020","age","death","count",7285117
"California","65+","522","05/20/2020","age","death","count",5669025
"California","","86197","05/20/2020","total","case","count",39557045
"California","","3451","05/20/2020","total","death","count",39557045
"Colorado","HISPANIC","0.3614","05/21/2020","race","case","percent",NA
"Colorado","NH AI/AN","0.0046","05/21/2020","race","case","percent",NA
"Colorado","NH ASIAN","0.0274","05/21/2020","race","case","percent",NA
"Colorado","NH BLACK","0.0611","05/21/2020","race","case","percent",NA
"Colorado","NH MULTI","0.0071","05/21/2020","race","case","percent",NA
"Colorado","NH NH/PI","0.0041","05/21/2020","race","case","percent",NA
"Colorado","NH WHITE","0.3565","05/21/2020","race","case","percent",NA
"Colorado","OTHER","0.0091","05/21/2020","race","case","percent",NA
"Colorado","UNKNOWN","0.1687","05/21/2020","race","case","percent",NA
"Colorado","0-9","478","05/21/2020","age","case","count",684807
"Colorado","10-19","961","05/21/2020","age","case","count",728742
"Colorado","20-29","3599","05/21/2020","age","case","count",832421
"Colorado","30-39","3984","05/21/2020","age","case","count",855573
"Colorado","40-49","4007","05/21/2020","age","case","count",732602
"Colorado","50-59","3774","05/21/2020","age","case","count",709866
"Colorado","60-69","2736","05/21/2020","age","case","count",631401
"Colorado","70-79","1738","05/21/2020","age","case","count",346828
"Colorado","80+","1860","05/21/2020","age","case","count",173324
"Colorado","UNKNOWN","54","05/21/2020","age","case","count",NA
"Colorado","FEMALE","0.5074","05/21/2020","gender","case","percent",2827696
"Colorado","MALE","0.4835","05/21/2020","gender","case","percent",2867868
"Colorado","UNKNOWN/OTHER","0.0091","05/21/2020","gender","case","percent",NA
"Colorado","HISPANIC","0.1908","05/21/2020","race","death","percent",NA
"Colorado","NH AI/AN","0.0061","05/21/2020","race","death","percent",NA
"Colorado","NH ASIAN","0.0397","05/21/2020","race","death","percent",NA
"Colorado","NH BLACK","0.0702","05/21/2020","race","death","percent",NA
"Colorado","NH MULTI","0.0076","05/21/2020","race","death","percent",NA
"Colorado","NH NH/PI","0.0031","05/21/2020","race","death","percent",NA
"Colorado","NH WHITE","0.6397","05/21/2020","race","death","percent",NA
"Colorado","OTHER","0.0053","05/21/2020","race","death","percent",NA
"Colorado","UNKNOWN","0.0374","05/21/2020","race","death","percent",NA
"Colorado","10-19","2","05/21/2020","age","death","count",728742
"Colorado","20-29","7","05/21/2020","age","death","count",832421
"Colorado","30-39","7","05/21/2020","age","death","count",855573
"Colorado","40-49","33","05/21/2020","age","death","count",732602
"Colorado","50-59","71","05/21/2020","age","death","count",709866
"Colorado","60-69","170","05/21/2020","age","death","count",631401
"Colorado","70-79","306","05/21/2020","age","death","count",346828
"Colorado","80+","714","05/21/2020","age","death","count",173324
"Colorado","FEMALE","0.4382","05/21/2020","gender","death","percent",2827696
"Colorado","MALE","0.5588","05/21/2020","gender","death","percent",2867868
"Colorado","UNKNOWN/OTHER","0.0031","05/21/2020","gender","death","percent",NA
"Colorado","0-9","35","05/21/2020","age","hosp","count",684807
"Colorado","10-19","33","05/21/2020","age","hosp","count",728742
"Colorado","20-29","180","05/21/2020","age","hosp","count",832421
"Colorado","30-39","333","05/21/2020","age","hosp","count",855573
"Colorado","40-49","494","05/21/2020","age","hosp","count",732602
"Colorado","50-59","711","05/21/2020","age","hosp","count",709866
"Colorado","60-69","717","05/21/2020","age","hosp","count",631401
"Colorado","70-79","523","05/21/2020","age","hosp","count",346828
"Colorado","80+","347","05/21/2020","age","hosp","count",173324
"Colorado","","20903","05/21/2020","total","case","count",5695564
"Colorado","","1036","05/21/2020","total","death","count",5695564
"Connecticut","HISPANIC","6945","05/20/2020","race","case","count",NA
"Connecticut","NH AI/AN","38","05/20/2020","race","case","count",NA
"Connecticut","NH ASIAN/PI","571","05/20/2020","race","case","count",NA
"Connecticut","NH BLACK","4959","05/20/2020","race","case","count",NA
"Connecticut","NH MULTI","76","05/20/2020","race","case","count",NA
"Connecticut","NH OTHER","199","05/20/2020","race","case","count",NA
"Connecticut","NH WHITE","12606","05/20/2020","race","case","count",NA
"Connecticut","UNKNOWN","13814","05/20/2020","race","case","count",NA
"Connecticut","0-9","409","05/20/2020","age","case","count",379145
"Connecticut","10-19","942","05/20/2020","age","case","count",459801
"Connecticut","20-29","4368","05/20/2020","age","case","count",466039
"Connecticut","30-39","5449","05/20/2020","age","case","count",440343
"Connecticut","40-49","5571","05/20/2020","age","case","count",440436
"Connecticut","50-59","6857","05/20/2020","age","case","count",529442
"Connecticut","60-69","5787","05/20/2020","age","case","count",432658
"Connecticut","70-79","3842","05/20/2020","age","case","count",260636
"Connecticut","80+","5863","05/20/2020","age","case","count",164165
"Connecticut","FEMALE","21457","05/20/2020","gender","case","count",1829270
"Connecticut","MALE","17550","05/20/2020","gender","case","count",1743395
"Connecticut","HISPANIC","312","05/20/2020","race","death","count",NA
"Connecticut","NH AI/AN","1","05/20/2020","race","death","count",NA
"Connecticut","NH ASIAN/PI","35","05/20/2020","race","death","count",NA
"Connecticut","NH BLACK","525","05/20/2020","race","death","count",NA
"Connecticut","NH MULTI","15","05/20/2020","race","death","count",NA
"Connecticut","NH OTHER","14","05/20/2020","race","death","count",NA
"Connecticut","NH WHITE","2600","05/20/2020","race","death","count",NA
"Connecticut","UNKNOWN","80","05/20/2020","race","death","count",NA
"Connecticut","0-9","1","05/20/2020","age","death","count",379145
"Connecticut","10-19","1","05/20/2020","age","death","count",459801
"Connecticut","20-29","4","05/20/2020","age","death","count",466039
"Connecticut","30-39","20","05/20/2020","age","death","count",440343
"Connecticut","40-49","50","05/20/2020","age","death","count",440436
"Connecticut","50-59","150","05/20/2020","age","death","count",529442
"Connecticut","60-69","443","05/20/2020","age","death","count",432658
"Connecticut","70-79","774","05/20/2020","age","death","count",260636
"Connecticut","80+","2138","05/20/2020","age","death","count",164165
"Connecticut","FEMALE","1816","05/20/2020","gender","death","count",1829270
"Connecticut","MALE","1759","05/20/2020","gender","death","count",1743395
"Connecticut","","196447","05/20/2020","total","test","count",3572665
"Connecticut","","39208","05/20/2020","total","case","count",3572665
"Connecticut","","3582","05/20/2020","total","death","count",3572665
"Delaware","ASIAN/PI","121","05/20/2020","race","case","count",NA
"Delaware","HISPANIC","2310","05/20/2020","race","case","count",NA
"Delaware","MULTI","439","05/20/2020","race","case","count",NA
"Delaware","NH BLACK","2252","05/20/2020","race","case","count",NA
"Delaware","NH WHITE","2386","05/20/2020","race","case","count",NA
"Delaware","UNKNOWN","878","05/20/2020","race","case","count",NA
"Delaware","0-4","97","05/20/2020","age","case","count",54811
"Delaware","5-17","389","05/20/2020","age","case","count",148805
"Delaware","18-34","2192","05/20/2020","age","case","count",212871
"Delaware","35-49","2168","05/20/2020","age","case","count",169900
"Delaware","50-64","1957","05/20/2020","age","case","count",199698
"Delaware","65+","1582","05/20/2020","age","case","count",181086
"Delaware","UNKNOWN","1","05/20/2020","age","case","count",NA
"Delaware","FEMALE","4598","05/20/2020","gender","case","count",499244
"Delaware","MALE","3757","05/20/2020","gender","case","count",467927
"Delaware","UNKNOWN/OTHER","31","05/20/2020","gender","case","count",NA
"Delaware","ASIAN/PI","1","05/20/2020","race","death","count",NA
"Delaware","HISPANIC","22","05/20/2020","race","death","count",NA
"Delaware","MULTI","3","05/20/2020","race","death","count",NA
"Delaware","NH BLACK","78","05/20/2020","race","death","count",NA
"Delaware","NH WHITE","193","05/20/2020","race","death","count",NA
"Delaware","UNKNOWN","20","05/20/2020","race","death","count",NA
"Delaware","0-4","0","05/20/2020","age","death","count",54811
"Delaware","5-17","0","05/20/2020","age","death","count",148805
"Delaware","18-34","8","05/20/2020","age","death","count",212871
"Delaware","35-49","8","05/20/2020","age","death","count",169900
"Delaware","50-64","49","05/20/2020","age","death","count",199698
"Delaware","65+","252","05/20/2020","age","death","count",181086
"Delaware","FEMALE","163","05/20/2020","gender","death","count",499244
"Delaware","MALE","154","05/20/2020","gender","death","count",467927
"Delaware","","47542","05/20/2020","total","test","count",967171
"Delaware","NON-HISPANIC WHITE","2","05/20/2020","race","test","count",NA
"Delaware","NON-HISPANIC BLACK","1","05/20/2020","race","test","count",NA
"Delaware","HISPANIC/LATINO","4","05/20/2020","race","test","count",NA
"Delaware","ANOTHER/MULTIPLE","3","05/20/2020","race","test","count",NA
"Delaware","ASIAN/PACIFIC ISLANDER","5","05/20/2020","race","test","count",NA
"Delaware","UNKNOWN","6","05/20/2020","race","test","count",NA
"Delaware","","8386","05/20/2020","total","case","count",967171
"Delaware","","317","05/20/2020","total","death","count",967171
"Delaware","","220","05/20/2020","total","hosp","count",967171
"District of Columbia","AI/AN","21","05/22/2020","race","case","count",NA
"District of Columbia","ASIAN","98","05/22/2020","race","case","count",NA
"District of Columbia","BLACK","3570","05/22/2020","race","case","count",NA
"District of Columbia","MULTI","0","05/22/2020","race","case","count",NA
"District of Columbia","OTHER","1810","05/22/2020","race","case","count",NA
"District of Columbia","UNKNOWN","1111","05/22/2020","race","case","count",NA
"District of Columbia","WHITE","1178","05/22/2020","race","case","count",NA
"District of Columbia","AI/AN","0","05/22/2020","race","death","count",NA
"District of Columbia","ASIAN","7","05/22/2020","race","death","count",NA
"District of Columbia","BLACK","316","05/22/2020","race","death","count",NA
"District of Columbia","MULTI","0","05/22/2020","race","death","count",NA
"District of Columbia","OTHER","0","05/22/2020","race","death","count",NA
"District of Columbia","UNKNOWN","2","05/22/2020","race","death","count",NA
"District of Columbia","WHITE","0","05/22/2020","race","death","count",NA
"District of Columbia","","41756","05/22/2020","total","test","count",702455
"District of Columbia","","7788","05/22/2020","total","case","count",702455
"District of Columbia","","412","05/22/2020","total","death","count",702455
"Florida","AI/AN","0","05/22/2020","race","case","count",NA
"Florida","ASIAN","0","05/22/2020","race","case","count",NA
"Florida","BLACK","9824","05/22/2020","race","case","count",NA
"Florida","MULTI","0","05/22/2020","race","case","count",NA
"Florida","OTHER","4431","05/22/2020","race","case","count",NA
"Florida","UNKNOWN","6896","05/22/2020","race","case","count",NA
"Florida","WHITE","26230","05/22/2020","race","case","count",NA
"Florida","0-4","336","05/22/2020","age","case","count",1143183
"Florida","5-14","713","05/22/2020","age","case","count",2363834
"Florida","15-24","3783","05/22/2020","age","case","count",2476245
"Florida","25-34","7134","05/22/2020","age","case","count",2788255
"Florida","35-44","7130","05/22/2020","age","case","count",2568764
"Florida","45-54","8243","05/22/2020","age","case","count",2746372
"Florida","55-64","7813","05/22/2020","age","case","count",2854601
"Florida","65-74","5654","05/22/2020","age","case","count",2397902
"Florida","75-84","3882","05/22/2020","age","case","count",1388750
"Florida","85+","2683","05/22/2020","age","case","count",571419
"Florida","UNKNOWN","10","05/22/2020","age","case","count",NA
"Florida","FEMALE","24117","05/22/2020","gender","case","count",10887548
"Florida","MALE","23264","05/22/2020","gender","case","count",10411777
"Florida","UNKNOWN/OTHER","0","05/22/2020","gender","case","count",NA
"Florida","AI/AN","0","05/22/2020","race","death","count",NA
"Florida","ASIAN","0","05/22/2020","race","death","count",NA
"Florida","BLACK","464","05/22/2020","race","death","count",NA
"Florida","MULTI","0","05/22/2020","race","death","count",NA
"Florida","OTHER","133","05/22/2020","race","death","count",NA
"Florida","UNKNOWN","81","05/22/2020","race","death","count",NA
"Florida","WHITE","1466","05/22/2020","race","death","count",NA
"Florida","0-4","0","05/22/2020","age","death","count",1143183
"Florida","5-14","0","05/22/2020","age","death","count",2363834
"Florida","15-24","0","05/22/2020","age","death","count",2476245
"Florida","25-34","14","05/22/2020","age","death","count",2788255
"Florida","35-44","35","05/22/2020","age","death","count",2568764
"Florida","45-54","81","05/22/2020","age","death","count",2746372
"Florida","55-64","197","05/22/2020","age","death","count",2854601
"Florida","65-74","462","05/22/2020","age","death","count",2397902
"Florida","75-84","640","05/22/2020","age","death","count",1388750
"Florida","85+","715","05/22/2020","age","death","count",571419
"Florida","UNKNOWN","0","05/22/2020","age","death","count",NA
"Florida","AI/AN","0","05/22/2020","race","hosp","count",NA
"Florida","ASIAN","0","05/22/2020","race","hosp","count",NA
"Florida","BLACK","2359","05/22/2020","race","hosp","count",NA
"Florida","MULTI","0","05/22/2020","race","hosp","count",NA
"Florida","OTHER","880","05/22/2020","race","hosp","count",NA
"Florida","UNKNOWN","292","05/22/2020","race","hosp","count",NA
"Florida","WHITE","5415","05/22/2020","race","hosp","count",NA
"Florida","0-4","23","05/22/2020","age","hosp","count",1143183
"Florida","5-14","19","05/22/2020","age","hosp","count",2363834
"Florida","15-24","136","05/22/2020","age","hosp","count",2476245
"Florida","25-34","444","05/22/2020","age","hosp","count",2788255
"Florida","35-44","733","05/22/2020","age","hosp","count",2568764
"Florida","45-54","1138","05/22/2020","age","hosp","count",2746372
"Florida","55-64","1574","05/22/2020","age","hosp","count",2854601
"Florida","65-74","1870","05/22/2020","age","hosp","count",2397902
"Florida","75-84","1742","05/22/2020","age","hosp","count",1388750
"Florida","85+","1266","05/22/2020","age","hosp","count",571419
"Florida","UNKNOWN","1","05/22/2020","age","hosp","count",NA
"Florida","","815584","05/22/2020","total","test","count",21299325
"Florida","","47381","05/22/2020","total","case","count",21299325
"Florida","","2144","05/22/2020","total","death","count",21299325
"Georgia","AI/AN","48","05/21/2020","race","case","count",NA
"Georgia","ASIAN","592","05/21/2020","race","case","count",NA
"Georgia","BLACK","13893","05/21/2020","race","case","count",NA
"Georgia","NH/PI","25","05/21/2020","race","case","count",NA
"Georgia","OTHER","2504","05/21/2020","race","case","count",NA
"Georgia","UNKNOWN","10961","05/21/2020","race","case","count",NA
"Georgia","WHITE","12640","05/21/2020","race","case","count",NA
"Georgia","AI/AN","4","05/21/2020","race","death","count",NA
"Georgia","ASIAN","29","05/21/2020","race","death","count",NA
"Georgia","BLACK","869","05/21/2020","race","death","count",NA
"Georgia","NH/PI","2","05/21/2020","race","death","count",NA
"Georgia","OTHER","25","05/21/2020","race","death","count",NA
"Georgia","UNKNOWN","23","05/21/2020","race","death","count",NA
"Georgia","WHITE","823","05/21/2020","race","death","count",NA
"Georgia","17","1","05/21/2020","age","death","count",147607
"Georgia","22","2","05/21/2020","age","death","count",140714
"Georgia","25","1","05/21/2020","age","death","count",151681
"Georgia","26","2","05/21/2020","age","death","count",154891
"Georgia","27","1","05/21/2020","age","death","count",156809
"Georgia","28","1","05/21/2020","age","death","count",155506
"Georgia","29","3","05/21/2020","age","death","count",148858
"Georgia","30","2","05/21/2020","age","death","count",143683
"Georgia","31","4","05/21/2020","age","death","count",141169
"Georgia","32","4","05/21/2020","age","death","count",140521
"Georgia","33","6","05/21/2020","age","death","count",142289
"Georgia","34","5","05/21/2020","age","death","count",137839
"Georgia","35","1","05/21/2020","age","death","count",140403
"Georgia","36","3","05/21/2020","age","death","count",141413
"Georgia","37","2","05/21/2020","age","death","count",141109
"Georgia","38","2","05/21/2020","age","death","count",145328
"Georgia","39","2","05/21/2020","age","death","count",136975
"Georgia","40","2","05/21/2020","age","death","count",134336
"Georgia","42","3","05/21/2020","age","death","count",130391
"Georgia","43","4","05/21/2020","age","death","count",135761
"Georgia","44","7","05/21/2020","age","death","count",132959
"Georgia","45","9","05/21/2020","age","death","count",137175
"Georgia","46","7","05/21/2020","age","death","count",142926
"Georgia","47","4","05/21/2020","age","death","count",149567
"Georgia","48","14","05/21/2020","age","death","count",149582
"Georgia","49","14","05/21/2020","age","death","count",139169
"Georgia","50","10","05/21/2020","age","death","count",134781
"Georgia","51","5","05/21/2020","age","death","count",134798
"Georgia","52","6","05/21/2020","age","death","count",137264
"Georgia","53","16","05/21/2020","age","death","count",142905
"Georgia","54","15","05/21/2020","age","death","count",143271
"Georgia","55","12","05/21/2020","age","death","count",140264
"Georgia","56","19","05/21/2020","age","death","count",138103
"Georgia","57","14","05/21/2020","age","death","count",137452
"Georgia","58","25","05/21/2020","age","death","count",136339
"Georgia","59","19","05/21/2020","age","death","count",130189
"Georgia","60","23","05/21/2020","age","death","count",126936
"Georgia","61","29","05/21/2020","age","death","count",125884
"Georgia","62","30","05/21/2020","age","death","count",120188
"Georgia","63","43","05/21/2020","age","death","count",117971
"Georgia","64","31","05/21/2020","age","death","count",112356
"Georgia","65","43","05/21/2020","age","death","count",107197
"Georgia","66","41","05/21/2020","age","death","count",102310
"Georgia","67","37","05/21/2020","age","death","count",99429
"Georgia","68","46","05/21/2020","age","death","count",97488
"Georgia","69","32","05/21/2020","age","death","count",94552
"Georgia","70","44","05/21/2020","age","death","count",93829
"Georgia","71","50","05/21/2020","age","death","count",96027
"Georgia","72","30","05/21/2020","age","death","count",70265
