"X","state_name","Link","total.tested","total.case","total.tested.today","total.positive.today","total.death.today","positive_race","positive_age","positive_gender","positivity.rate","county.details","total.death","death_race","death_age","death_gender","comorbidities","total_hosp","hosp_race","hosp_age","hosp_gender","platform","comments","last.update"
12,"Washington","https://www.doh.wa.gov/emergencies/coronavirus","2968070","151019",NA,NA,NA,"Unknown Race/Ethnicity:57853; Hispanic:33576; Non-Hispanic American Indian or Alaska Native:1334; Non-Hispanic Asian:4930; Non-Hispanic Black:5536; Non-Hispanic White:41607; Non-Hispanic Native Hawaiian or Other Pacific Islander:1994; Non-Hispanic Multiracial:2526; Non-Hispanic Other Race:1667","0-19:15%; 20-39:40%; 40-59:28%; 60-79:13%; 80+:4%; Unknown:0%","Unknown:3%; Female:49%; Male:47%","",NA,"2690","Unknown Race/Ethnicity:59; Hispanic:367; Non-Hispanic American Indian or Alaska Native:61; Non-Hispanic Asian:182; Non-Hispanic Black:79; Non-Hispanic White:1815; Non-Hispanic Native Hawaiian or Other Pacific Islander:45; Non-Hispanic Multiracial:34; Non-Hispanic Other Race:48","0-19:0%; 20-39:1%; 40-59:9%; 60-79:39%; 80+:51%; Unknown:0%","Unknown:2%; Female:46%; Male:52%","","10166","Unknown Race/Ethnicity:3284; Hispanic:1861; Non-Hispanic American Indian or Alaska Native:140; Non-Hispanic Asian:470; Non-Hispanic Black:403; Non-Hispanic White:3475; Non-Hispanic Native Hawaiian or Other Pacific Islander:253; Non-Hispanic Multiracial:128; Non-Hispanic Other Race:152","0-19:2%; 20-39:14%; 40-59:28%; 60-79:38%; 80+:18%; Unknown:0%","Unknown:2%; Female:46%; Male:52%","power BI + webpage","","11/24/2020"
13,"Indiana","https://coronavirus.in.gov","2107744; age_0-19:375096; age_20-29:387670; age_30-39:307206; age_40-49:276449; age_50-59:282228; age_60-69:240192; age_70-79:144629; age_80+:89379; age_Unknown:4895; gender_F:1150895; gender_M:923166; gender_Unknown:33683; race_Asian:38009; race_Black or African American:156354; race_Other Race:240687; race_Unknown:282391; race_White:1390303; eth_Hispanic or Latino:78368; eth_Not Hispanic or Latino:946353; eth_Unknown:1083023","306538; eth_Hispanic or Latino:21630; eth_Not Hispanic or Latino:142718; eth_Unknown:142190","544","5693","35","Unknown:58272; Asian:3934; Black or African American:21025; Other Race:34308; White:188999","0-19:42421; 20-29:58559; 30-39:45227; 40-49:45900; 50-59:44380; 60-69:33992; 70-79:20404; 80+:15536; Unknown:119","Unknown:3212; F:162041; M:141285","",NA,"5169; eth_Hispanic or Latino:129; eth_Not Hispanic or Latino:2664; eth_Unknown:2376","Unknown:343; Asian:25; Black or African American:522; Other Race:688; White:3591","0-19:2; 20-29:14; 30-39:41; 40-49:90; 50-59:255; 60-69:778; 70-79:1303; 80+:2686; Unknown:0","Unknown:61; F:2487; M:2621","","","","","","interactive","BEDS_ICU_TOTAL:2156; BEDS_ICU_OCCUPIED_COVID_19:909; BEDS_ICU_NO_OCCUPIED_COVID_19:722; BEDS_AVAILABLE_ICU_BEDS_TOTAL:525; VENTS_TOTAL:2801; VENTS_ALL_USE_COVID_19:325; VENTS_NON_COVID_PTS_ON_VENTS:454; VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE:2022; PCT_BEDS_ICU_OCCUPIED_COVID_19:42.16; PCT_BEDS_ICU_NO_OCCUPIED_COVID_19:33.49; PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL:24.35; PCT_VENTS_ALL_USE_COVID_19:11.6; PCT_VENTS_NON_COVID_PTS_ON_VENTS:16.21; PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE:72.19","11/23/2020"
14,"Colorado","https://covid19.colorado.gov/case-data","1645109","206439",NA,NA,NA,"Unknown:0.256; American Indian or Alaska Native:0.005; Asian:0.013; Black or African American:0.028; Hispanic, All Races:0.318; Multiple Races - Non Hispanic:0.014; Native Hawaiian or Other Pacific Islander:0.003; Other:0.007; White - Non Hispanic:0.356","0-9:0.039; 10-19:0.112; 20-29:0.225; 30-39:0.181; 40-49:0.155; 50-59:0.13; 60-69:0.083; 70-79:0.044; 80+:0.032; Unknown:0.001","Unknown:0.025; Female:0.496; Male:0.479","x (by date)",NA,"2860","Unknown:0.035; American Indian or Alaska Native:0.006; Asian:0.027; Black or African American:0.051; Hispanic, All Races:0.23; Multiple Races - Non Hispanic:0.024; Native Hawaiian or Other Pacific Islander:0.002; Other:0.006; White - Non Hispanic:0.618","0-9:0; 10-19:0.002; 20-29:0.007; 30-39:0.009; 40-49:0.029; 50-59:0.066; 60-69:0.122; 70-79:0.234; 80+:0.531","Unknown:0.005; Female:0.462; Male:0.532","","12836","","","","tableau","","11/24/2020"
15,"Virginia","http://www.vdh.virginia.gov/coronavirus/","37733","223582",NA,"2544","37","Not Reported:42577; Asian or Pacific Islander:7133; Black:41576; Latino:45220; Native American:292; Other Race:5557; Two or more races:2233; White:78994","0-9:8537; 10-19:22724; 20-29:45899; 30-39:37364; 40-49:33775; 50-59:31551; 60-69:20939; 70-79:11567; 80+:9520; Missing:1706","Female:114698; Male:107138; Not Reported:1746","",NA,"3979","Not Reported:114; Asian or Pacific Islander:167; Black:1017; Latino:348; Native American:7; Other Race:51; Two or more races:16; White:2259","0-9:0; 10-19:1; 20-29:9; 30-39:40; 40-49:98; 50-59:275; 60-69:618; 70-79:1028; 80+:1903; Missing:7","Female:1930; Male:2031; Not Reported:18","","14212","Not Reported:351; Asian or Pacific Islander:612; Black:4110; Latino:3478; Native American:13; Other Race:286; Two or more races:102; White:5260","0-9:121; 10-19:153; 20-29:573; 30-39:1161; 40-49:1728; 50-59:2563; 60-69:2871; 70-79:2623; 80+:2393; Missing:26","Female:6773; Male:7426; Not Reported:13","tableau","total_hosp_today:116","11/24/2020"
16,"Missouri","https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php","2960516","278661; eth_non-hispanic:49.00%; eth_hispanic:4.04%; eth_unknown:46.96%",NA,NA,NA,"Unknown:29.00%; white:44.80%; black:9.65%; ai/an:0.20%; asian:0.80%; multi:0.02%; other:15.53%","0-4 years:3523; 5-9 years:4445; 10-14 years:9003; 15-17 years:10495; 18-24 years:38751; 25-29 years:24361; 30-34 years:21685; 35-39 years:20815; 40-44 years:19731; 45-49 years:19848; 50-54 years:20129; 55-59 years:20564; 60-64 years:18384; 65-69 years:14130; 70-74 years:11649; 75-79 years:8480; 80+:14026; Unknown:444","","",NA,"3750; eth_non-hispanic:76.07%; eth_hispanic:2.51%; eth_unknown:21.41%","Unknown:7.10%; white:51.05%; black:16.48%; ai/an:0.22%; asian:0.71%; multi:0.02%; other:24.39%","0-4 years:0; 5-9 years:0; 10-14 years:0; 15-17 years:0; 18-24 years:5; 25-29 years:6; 30-34 years:11; 35-39 years:14; 40-44 years:27; 45-49 years:49; 50-54 years:80; 55-59 years:130; 60-64 years:226; 65-69 years:314; 70-74 years:475; 75-79 years:552; 80+:1858; Unknown:3","","","","","","","webpage + arcgis","","11/24/2020"
17,"Rhode Island","https://docs.google.com/spreadsheets/d/1n-zMS9Al94CPj_Tc3K7Adin-tN9x1RSjjx2UzJ4SV7Q/edit#gid=771623753","1479845","51424",NA,NA,NA,"Pending further information:5; Hispanic or Latino†:13966; American Indian or Alaska Native*:106; Asian*:640; Black or African American*:3565","0-4:737; 5-9:862; 10-14:1160; 15-18:1807; 19-24:4895; 25-29:3896; 30-39:6754; 40-49:5931; 50-59:6175; 60-69:4270; 70-79:2449; 80-89:1793","Female:22341; Male:18983; Other:35; Pending further information:510","",NA,"1325","Pending further information:0; Hispanic or Latino†:122; American Indian or Alaska Native*:<5; Asian*:15; Black or African American*:67","0-4:0; 5-9:0; 10-14:0; 15-18:0; 19-24:0; 25-29:0; 30-39:7; 40-49:17; 50-59:54; 60-69:137; 70-79:289; 80-89:411","Female:664; Male:601; Other:0; Pending further information:0","","4252","Pending further information:<5; Hispanic or Latino†:1062; American Indian or Alaska Native*:6; Asian*:61; Black or African American*:362","0-4:30; 5-9:12; 10-14:17; 15-18:24; 19-24:106; 25-29:135; 30-39:269; 40-49:415; 50-59:598; 60-69:751; 70-79:737; 80-89:538","Female:1863; Male:1980; Other:7; Pending further information:14","google doc","","11/24/2020"
18,"Alabama","http://www.alabamapublichealth.gov/covid19/index.html","1544865","236865; eth_Hispanic/Latino:8977; eth_Not Hispanic/Latino:90140; eth_Unknown:98731",NA,NA,NA,"Unknown:58887; Asian:741; Black:42941; Other:24615; White:70664",">= 65:33087; 0-4:3849; 18-24:27295; 25-49:75041; 5-17:17468; 50-64:41108","Female:108055; Male:87099; Unknown:2694","",NA,"3472; eth_Hispanic/Latino:83; eth_Not Hispanic/Latino:2633; eth_Unknown:449","Unknown:131; Asian:12; Black:1130; Other:92; White:1800",">= 65:2436; 0-4:4; 18-24:6; 25-49:155; 50-64:564","F:1493; M:1660; U:5","","24160","","","","arcgis, pdf","CLN_ICU:2211; CLN_VENT:1276; HCW:11981; LTCF_Employee:3762; LTCF_Resident:7302","11/24/2020"
19,"Wisconsin","https://www.dhs.wisconsin.gov/covid-19/data.htm","2468729","363973; eth_hispanic:40950; eth_non-hispanic:261273; eth_unknown:61750",NA,NA,NA,"Unknown:31563; AI/AN:4751; Asian/PI:7735; Black:24432; White:273245; MULTI/OTHERS:22247","0-9:13188; 10-19:41261; 20-29:72691; 30-39:56724; 40-49:51790; 50-59:55755; 60-69:39032; 70-79:20145; 80-89:9823; 90+:3564","Female:186303; Male:176920; Unknown:749","",NA,"3115; eth_hispanic:218; eth_non-hispanic:2711; eth_unknown:186","Unknown:102; AI/AN:38; Asian/PI:60; Black:283; White:2574; MULTI/OTHERS:58","0-9:0; 10-19:0; 20-29:14; 30-39:26; 40-49:61; 50-59:172; 60-69:425; 70-79:793; 80-89:976; 90+:648","Female:1400; Male:1709; Unknown:6","","16209","","0-9:139; 10-19:261; 20-29:805; 30-39:1010; 40-49:1253; 50-59:2248; 60-69:3262; 70-79:3634; 80-89:2692; 90+:905","","","","11/24/2020"
20,"Utah","https://coronavirus.utah.gov/case-counts/","1945569","182121; casecom_7702:50.4% / 49.6%",NA,NA,NA,"Unknown:19014; American Indian/Alaska Native:2624; Asian:3780; Black/African American:2729; Hispanic or Latino:46111; Native Hawaiian/Pacific Islander:5479; White alone not Hispanic or Latino:103892; Other race:16212","0-1:576; 1-14:15703; 15-24:46374; 25-44:64805; 45-64:40784; 65-84:12327; 85+:1533; Unknown:19","Female:91614; Male:90303","",NA,"808","Unknown:45; American Indian/Alaska Native:42; Asian:29; Black/African American:10; Hispanic or Latino:150; Native Hawaiian/Pacific Islander:33; White alone not Hispanic or Latino:496; Other race:55","0-1:0; 1-14:0; 15-24:0; 25-44:30; 45-64:161; 65-84:407; 85+:206; Unknown:0","Female:37%; Male:62.6%","808:789","7702","Unknown:177; American Indian/Alaska Native:240; Asian:196; Black/African American:150; Hispanic or Latino:2060; Native Hawaiian/Pacific Islander:523; White alone not Hispanic or Latino:4326; Other race:708","0-1:37; 1-14:102; 15-24:538; 25-44:1725; 45-64:2532; 65-84:2344; 85+:424; Unknown:0","Female:49.6%; Male:50.4%","","cum_active_cases:62540; cum_estimate_recovered:118773; icu_Yes:1422; icu_No:160156; icu_Under Investigation:20543; vent_Yes:519; vent_No:35681; vent_Under Investigation:145921","11/24/2020"
21,"Kentucky","https://kygeonet.maps.arcgis.com/apps/opsdashboard/index.html#/543ac64bc40445918cf8bc34dc40e334","","162838; eth_Hispanic:8727; eth_Non-Hispanic:109054; eth_Unknown:45057",NA,NA,NA,"American Indian or Alaska Native:338; Asian:1676; Black or African American:12654; Multiracial:851; Native Hawaiian or Other Pacific Islander:141; Other:5507; Unknown:39954; White:101717","0-9:6435; 10-19:17924; 20-29:31162; 30-39:24071; 40-49:23844; 50-59:22617; 60-69:17894; 70-79:11146; 80+:7657; Unconfirmed:88","F:86367; M:75001; U:1470","",NA,"1809; eth_Hispanic:45; eth_Non-Hispanic:1569; eth_Unknown:195","American Indian or Alaska Native:0; Asian:14; Black or African American:187; Multiracial:12; Native Hawaiian or Other Pacific Islander:0; Other:33; Unknown:130; White:1433","0-9:1; 10-19:1; 20-29:1; 30-39:12; 40-49:32; 50-59:102; 60-69:281; 70-79:487; 80+:892; Unconfirmed:0","F:932; M:877; U:1","","","","","","arcgis","pod_Hospice:1; pod_Hospital:5; pod_Long-Term Living:3; pod_Residence:2; pod_Other:4","11/24/2020"
22,"Delaware","https://coronavirus.delaware.gov/latest-data/","406207; race_Non-Hispanic White:194042; race_Non-Hispanic Black:73498; race_Another/Multiple:36876; race_Hispanic/Latino:31541; race_Asian/Pacific Islander:9103; race_Unknown:61147","32664",NA,NA,NA,"Unknown:2003; Non-Hispanic White:13733; Non-Hispanic Black:8146; Hispanic/Latino:6559; Another/Multiple:1697; Asian/Pacific Islander:526","0-4:682; 5-17:2742; 18-34:10469; 35-49:7358; 50-64:6584; 65+:4829","Female:17637; Male:14977; Unknown:50","",NA,"757","Unknown:1; Non-Hispanic White:501; Non-Hispanic Black:189; Hispanic/Latino:52; Another/Multiple:12; Asian/Pacific Islander:2","0-4:0; 5-17:0; 18-34:13; 35-49:20; 50-64:98; 65+:626","Female:391; Male:366","","","","","","","curr_hosp:28; Recoveries:16262","11/24/2020"
23,"Arkansas","https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus","1736842","148312; eth_hispanic:20243; eth_nonhispanic:128069",NA,NA,NA,"black:27176; white:90898; na:381; asian:1411; pi:2632; other_race:7958; unk_race:16830","0-10:8465; 11-17:11304; 18-24:21203; 25-34:24482; 35-44:22674; 45-54:21189; 55-64:17614; 65+:21381; unknown:0","male:70990; female:76362; unk_gender:960","",NA,"2405; eth_hispanic:108; eth_nonhispanic:2297","black:398; white:1679; na:7; asian:20; pi:48; other_race:96; unk_race:148","0-10:0; 11-17:0; 18-24:4; 25-34:25; 35-44:51; 45-54:130; 55-64:310; 65+:1885; unknown:0","","case_diabetes:10293; case_cardiac_disease:5174; case_hypertension:18702; case_cpd:3410; case_ckd:1272; case_immunocompromised:1222","","","","","pdf","","11/24/2020"
24,"New Mexico","https://cvprovider.nmhealth.org/public-dashboard.html#","1477284","86247",NA,NA,NA,"American Indian/Alaska Native:3.92%; Asian:0.16%; Black/African American:0.29%; White:3.01%; Unknown:5.36%; Hispanic/Latino:86.39%","0-9:4542; 10-19:10123; 20-29:17027; 30-39:15286; 40-49:13115; 50-59:11244; 60-69:7872; 70-79:3936; 80-89:2015; 90+:693","Male:48.04%; Female:51.96%","",NA,"1428","","","","","6309","","","","public dashboard","recovered:29568; curr_hosp:871","11/24/2020"
25,"Oregon","https://govstatus.egov.com/OR-OHA-COVID-19","1021373","67333; eth_Hispanic:22306; eth_Not Hispanic:33398; eth_Not available:11629",NA,NA,NA,"Not available:10300; White:30354; Black:1944; Asian:1902; American Indian/Alaska Native:1412; Paciﬁc Islander:841; Other:19308; Multiracial:1272","0 to 9:3275; 10 to 19:7334; 20 to 29:14596; 30 to 39:12083; 40 to 49:10563; 50 to 59:8464; 60 to 69:5345; 70 to 79:3156; 80 and over:2387; Not available:130","Not available:389; Female:34685; Male:32253; Non-binary:6","",NA,"847; eth_Hispanic:111; eth_Not Hispanic:580; eth_Refused/Unknown :156","White:567; Black:22; Asian:24; Other:91; Multiracial:22; AI/AN:15; Pacific Is.:10; Refused/Unknown :96","0 to 9:0; 10 to 19:0; 20 to 29:1; 30 to 39:9; 40 to 49:19; 50 to 59:53; 60 to 69:133; 70 to 79:194; 80 and over:438; Not available:0","Not available:1; Female:377; Male:469; Non-binary:0","","4176; eth_Hispanic:1021; eth_Not Hispanic:2612; eth_Refused/Unknown :543","White:2408; Black:147; Asian:140; Other:893; Multiracial:71; AI/AN:117; Pacific Is.:98; Refused/Unknown :302","0 to 9:47; 10 to 19:65; 20 to 29:286; 30 to 39:324; 40 to 49:470; 50 to 59:634; 60 to 69:772; 70 to 79:806; 80 and over:749; Not available:23","Female:1960; Male:2204; Refused/Unknown:12","webpage","","11/24/2020"
