"X.1","state_name","total.tested","total.case","total.tested.today","total.positive.today","total.death.today","positive_race","positive_age","positive_gender","total.death","death_race","death_age","death_gender","comorbidities","total_hosp","hosp_race","hosp_age","hosp_gender","platform","comments","last.update"
8,"Georgia","958953","97064; eth_Hispanic/Latino:14997; eth_Non-Hispanic/Latino:46357; eth_Unknown:35710",NA,NA,NA,"AI/AN:   71; ASIAN: 1389; BLACK:26887; HN/PI:   97; OTHER: 7710; UNKNOWN:30032; WHITE:30878","0-0:371; 1-4:893; 5-9:1221; 10-17:3804; 18-29:22678; 30-39:16498; 40-49:15459; 50-59:14590; 60-69:10201; 70-79:6050; 80+:5065; UNKNOWN:234","FEMALE:50103; MALE:43760; UNKNOWN:3201","2878; eth_Hispanic/Latino:148; eth_Non-Hispanic/Latino:2694; eth_Unknown:36","AI/AN:   3; ASIAN:  47; BLACK:1357; HN/PI:   5; OTHER:  72; UNKNOWN:  19; WHITE:1375","10-17:1; 18-29:15; 30-39:50; 40-49:108; 50-59:241; 60-69:533; 70-79:774; 80+:1155; UNKNOWN:1","FEMALE:1400; MALE:1475; UNKNOWN:3","Unknown:685; No:385; Yes:1808","11919",NA,"0-0:18; 1-4:24; 5-9:8; 10-17:74; 18-29:714; 30-39:1092; 40-49:1527; 50-59:2239; 60-69:2436; 70-79:2004; 80+:1775; UNKNOWN:8",NA,"webpage",NA,"07/06/20"
NA,"Hawaii",NA,"1094",NA,NA,NA,"AI/AN:  0; ASIAN:304; BLACK:  9; HN/PI:301; MULTI:  0; OTHER: 19; UNKNOWN:  0; WHITE:186","0-19:104; 20-39:344; 40-59:339; 60+:243",NA,"19",NA,NA,NA,NA,"122",NA,"0-19:NA; 20-39:10; 40-59:31; 60+:77",NA,"manual",NA,"07/09/20"
NA,"Idaho","107925","8052; eth_hispanic:1604; eth_non_hispanic:2975; eth_unk:3472",NA,NA,NA,"AI/AN: 123.00; ASIAN: 120.00; BLACK: 178.00; HN/PI:  43.00; MULTI: 417.00; OTHER:1298.00; UNKNOWN:  26.68; WHITE:5843.00","0-17:615; 18-29:2857; 30-39:1307; 40-49:1112; 50-59:971; 60-69:605; 70-79:329; 80+:251","FEMALE:4278; MALE:3741","94; eth_hispanic:7; eth_non_hispanic:87; eth_unk:NA","AI/AN: 0; ASIAN: 2; BLACK: 1; HN/PI: 0; MULTI: 0; OTHER: 1; UNKNOWN: 0; WHITE:89","0-17:0; 18-29:0; 30-39:0; 40-49:0; 50-59:2; 60-69:11; 70-79:19; 80+:62","FEMALE:48; MALE:46",NA,"387",NA,NA,NA,"manual","Percentages present. Manual entry.","07/06/20"
4,"Illinois","1782840; age_Unknown:68358; age_<20:123025; age_20-29:252746; age_30-39:261804; age_40-49:247523; age_50-59:277356; age_60-69:249854; age_70-79:160718; age_80+:141456; gender_Male:714840; gender_Female:925519; gender_Unknown/Left Blank:142481; race_White:483804; race_Black:153694; race_Left Blank:918705; race_Other:54422; race_Asian:25876; race_Hispanic:142967; race_NH/PI*:2106; race_AI/AN**:1266","147865",21134,614,6,"AI/AN:  224; ASIAN: 4218; BLACK:24783; HISPANIC:47778; HN/PI:  382; OTHER: 5511; UNKNOWN:33641; WHITE:31328","0-19:11519; 20-29:25020; 30-39:24368; 40-49:25740; 50-59:24581; 60-69:17151; 70-79:9534; 80+:9895; UNKNOWN:57","FEMALE:75370; MALE:69787; UNKNOWN:2708","7026","AI/AN:  10; ASIAN: 330; BLACK:1958; HISPANIC:1452; HN/PI:   7; OTHER:  48; UNKNOWN:  95; WHITE:3126","0-19:4; 20-29:25; 30-39:110; 40-49:248; 50-59:581; 60-69:1253; 70-79:1678; 80+:3127; UNKNOWN:0","FEMALE:3210; MALE:3811; UNKNOWN:5",NA,NA,NA,NA,NA,"webpage",NA,"07/06/20"
12,"Indiana","526592; age_0-19:39875; age_20-29:78718; age_30-39:81987; age_40-49:80046; age_50-59:86591; age_60-69:76306; age_70-79:47937; age_80+:31873; age_Unknown:3259; gender_F:302918; gender_M:212409; gender_Unknown:11265; race_Asian:4414; race_Black or African American:45797; race_Other Race:71567; race_Unknown:108001; race_White:296813; eth_Hispanic or Latino:17219; eth_Not Hispanic or Latino:200410; eth_Unknown:308963","48331; eth_Hispanic or Latino:5494; eth_Not Hispanic or Latino:16179; eth_Unknown:26658",154,329,3,"ASIAN:  721; BLACK: 5798; OTHER: 8576; UNKNOWN:11492; WHITE:21744","0-19:3335; 20-29:7775; 30-39:7803; 40-49:8027; 50-59:7576; 60-69:5856; 70-79:3699; 80+:4228; UNKNOWN:32","FEMALE:25214; MALE:22231; UNKNOWN:886","2505; eth_Hispanic or Latino:48; eth_Not Hispanic or Latino:1336; eth_Unknown:1121","ASIAN:  13; BLACK: 363; OTHER: 328; UNKNOWN: 180; WHITE:1621","0-19:2; 20-29:7; 30-39:18; 40-49:46; 50-59:129; 60-69:399; 70-79:610; 80+:1294; UNKNOWN:0","FEMALE:1221; MALE:1230; UNKNOWN:54",NA,NA,NA,NA,NA,"interactive","beds_all_occupied_beds_covid_19:613; beds_icu_total:2418; beds_icu_occupied_beds_covid_19:229; bed_occupied_icu_non_covid:1162; beds_available_icu_beds_total:1027; vents_total:2924; vents_all_in_use_covid_19:88; vents_non_covid_pts_on_vents:389; vents_all_available_vents_not_in_use:2447","07/05/20"
NA,"Iowa","335716","31656; eth_hispanic:0.24; eth_non_hispanic:0.6; eth_unk:0.16",NA,NA,NA,"AI/AN:0.01; ASIAN:0.06; BLACK:0.09; HN/PI:0.01; OTHER:0.01; UNKNOWN:0.19; WHITE:0.64","0-17:0.05; 18-40:0.48; 41-60:0.31; 61-80:0.12; 80+:0.04","FEMALE:0.48; MALE:0.5; UNKNOWN:0.02","721; eth_hispanic:0.0693; eth_non_hispanic:0.8183; eth_unk:0.1123","AI/AN:0.0069; ASIAN:0.0319; BLACK:0.0499; HN/PI:0.0166; OTHER:0.0042; UNKNOWN:0.0929; WHITE:0.7975","0-17:0; 18-40:0.0236; 41-60:0.1026; 61-80:0.4064; 80+:0.4674","FEMALE:0.473; MALE:0.5257; UNKNOWN:0",NA,NA,NA,NA,NA,"manual",NA,"07/06/20"
NA,"Kansas","191561","15919; eth_hispanic:6365; eth_non_hispanic:6528; eth_unk:3026",NA,NA,NA,"AI/AN:  111; ASIAN:  779; BLACK: 1341; OTHER:  633; UNKNOWN: 2878; WHITE:10177","0-9:473; 10-17:715; 18-24:2624; 25-34:3104; 35-44:2579; 45-54:2765; 55-64:1934; 65-74:895; 75-84:458; 85+:365; UNKNOWN:7","FEMALE:7414; MALE:8254; UNKNOWN:251","277; eth_hispanic:33; eth_non_hispanic:235; eth_unk:9","AI/AN:  2; ASIAN:  9; BLACK: 61; OTHER:  6; UNKNOWN:  4; WHITE:195","0-9:0; 10-17:0; 18-24:0; 25-34:2; 35-44:13; 45-54:6; 55-64:39; 65-74:53; 75-84:63; 85+:101; UNKNOWN:NA","FEMALE:130; MALE:147; UNKNOWN:0",NA,"1219; eth_hispanic:372; eth_non_hispanic:760; eth_unk:87","AI/AN:  6; ASIAN: 49; BLACK:198; OTHER: 86; UNKNOWN: 68; WHITE:812","0-9:14; 10-17:1; 18-24:35; 25-34:82; 35-44:193; 45-54:145; 55-64:256; 65-74:218; 75-84:154; 85+:121; UNKNOWN:0",NA,"manual",NA,"07/06/20"
19,"Kentucky","399715","17155; eth_Non-Hisp:56.46074%; eth_Hispanic:11.31926%",NA,NA,NA,"AI/AN:  60; ASIAN: 451; BLACK:1651; HN/PI:  35; MULTI:  79; OTHER: 645; UNKNOWN:5477; WHITE:8757","0-9:468; 10-19:958; 20-29:2979; 30-39:2829; 40-49:2728; 50-59:2570; 60-69:1967; 70-79:1310; 80+:1323; UNKNOWN:23","FEMALE:8982; MALE:7986; UNKNOWN:187","593; eth_Non-Hisp:89.715374%; eth_Hispanic:3.874626%","AI/AN:  0; ASIAN:  8; BLACK: 87; HN/PI:  0; MULTI:  3; OTHER:  6; UNKNOWN: 38; WHITE:451","0-9:1; 10-19:0; 20-29:0; 30-39:4; 40-49:13; 50-59:37; 60-69:91; 70-79:141; 80+:306; UNKNOWN:0","FEMALE:325; MALE:268; UNKNOWN:0",NA,"2699","AI/AN:   2; ASIAN: 103; BLACK: 352; HN/PI:   2; MULTI:  12; OTHER:  84; UNKNOWN: 237; WHITE:1749","0-9:20; 10-19:52; 20-29:216; 30-39:255; 40-49:311; 50-59:443; 60-69:446; 70-79:390; 80+:408; UNKNOWN:0","FEMALE:1409; MALE:1131; UNKNOWN:1","arcgis","icu_0-9:1; icu_10-19:4; icu_20-29:11; icu_30-39:26; icu_40-49:29; icu_50-59:88; icu_60-69:111; icu_70-79:107; icu_80+:64; icu_Unconfirmed:0; icu_F:202; icu_M:239; icu_U:0; recovered:4785; total_icu:441","07/06/20"
30,"Louisiana","865737","70151",NA,NA,NA,NA,"0-17:4282; 18-29:14949; 30-39:11457; 40-49:10768; 50-59:10631; 60-69:8490; 70+:9419","FEMALE:0.56; MALE:0.42; UNKNOWN:0.02","3231; eth_Hispanic/Latino:2.00%; eth_Non-Hispanic/Latino:90.00%; eth_Unknown:8.00%","AI/AN:   4; ASIAN:  23; BLACK:1671; HN/PI:   5; OTHER:  16; UNKNOWN:   1; WHITE:1468","0-17:3; 18-29:11; 30-39:59; 40-49:113; 50-59:282; 60-69:574; 70+:2189","FEMALE:0.48; MALE:0.52; UNKNOWN:0","Asthma:4.28%; Cancer:7.62%; Cardiac Disease:21.22%; Chronic Kidney Disease:20.41%; Congestive Heart Failure:14.32%; Diabetes:37.82%; Hypertension:62.09%; Neurological:14.52%; Obesity:19.86%; Pulmonary:12.54%",NA,NA,NA,NA,"arcgis + tableau + downloadable csv","curr_hosp:1022; curr_vent:105; Beds_In Use:9442; Beds_Still Available:5347; Hospital Vents_In Use:516; Hospital Vents_Still Available:1548; ICU Beds_In Use:1364; ICU Beds_Still Available:701","07/08/20"
24,"Maine","108889","3423; eth_Not Hispanic or Latino:2666; eth_Unknown:632; eth_Hispanic or Latino:125",NA,NA,NA,"AI/AN:   7; ASIAN:  79; BLACK: 803; HN/PI:   2; MULTI:  21; OTHER:  94; UNKNOWN: 395; WHITE:2022","0-19:283; 20-29:526; 30-39:530; 40-49:530; 50-59:566; 60-69:403; 70-79:285; 80+:300","FEMALE:1773; MALE:1650","109; eth_Not Hispanic or Latino:89; eth_Unknown:16; eth_Hispanic or Latino:0","AI/AN: 0; ASIAN: 0; BLACK: 2; HN/PI: 0; MULTI: 0; OTHER: 1; UNKNOWN: 8; WHITE:94",NA,"FEMALE:58; MALE:51",NA,"359; eth_Not Hispanic or Latino:292; eth_Unknown:50; eth_Hispanic or Latino:5","AI/AN:  0; ASIAN:  6; BLACK: 36; HN/PI:  0; MULTI:  0; OTHER:  4; UNKNOWN: 14; WHITE:287",NA,"FEMALE:155; MALE:204","tableau and interactive webpage","Total Hospitalized:21; In Critical Care:9; On a Ventilator:4; Available Critical Care Beds:148; Total Critical Care Beds:397; Available Ventilators:264; Total Ventilators:318; Alternative Ventilators:444; recovered:2787","07/06/20"
9,"Maryland","724463","69904",NA,NA,NA,"HISPANIC:18609; NH ASIAN: 1337; NH BLACK:20043; NH OTHER: 3407; NH WHITE:13850; UNKNOWN:12658","0-9:2141; 10-19:3700; 20-29:10487; 30-39:13069; 40-49:12332; 50-59:10926; 60-69:7786; 70-79:4913; 80+:4550","FEMALE:36227; MALE:33677","3246","HISPANIC: 358; NH ASIAN: 128; NH BLACK:1309; NH OTHER:  35; NH WHITE:1394; UNKNOWN:  22","0-9:0; 10-19:1; 20-29:18; 30-39:47; 40-49:101; 50-59:255; 60-69:521; 70-79:781; 80+:1506; UNKNOWN:16","FEMALE:1598; MALE:1648",NA,"11096",NA,NA,NA,"arcgis + webpage","Currently hospitalized :403; Acute care :261; Intensive care :142; Released from isolation :5029","07/06/20"
1,"Massachusetts","886213","109974",5893,111,10,"HISPANIC:21357; NH ASIAN: 2292; NH BLACK:10357; NH OTHER: 5681; NH WHITE:33369; UNKNOWN:36918","0-19:5908; 20-29:15386; 30-39:16563; 40-49:15666; 50-59:17387; 60-69:14164; 70-79:9494; 80+:15136; UNKNOWN:270","FEMALE:59967; MALE:48548; UNKNOWN:1459","8183; Hosp_Yes:4424; Hosp_No:1169; Hosp_Unknown:2590; Preexist_Yes:3985; Preexist_No:71; Preexist_Unknown:4127","HISPANIC: 570; NH ASIAN: 214; NH BLACK: 669; NH OTHER: 534; NH WHITE:6133; UNKNOWN:  63","0-19:0; 20-29:16; 30-39:32; 40-49:86; 50-59:288; 60-69:852; 70-79:1793; 80+:5116; UNKNOWN:0","FEMALE:4378; MALE:3804",NA,"11462","HISPANIC:1558; NH ASIAN: 369; NH BLACK:1347; NH OTHER: 893; NH WHITE:5599; UNKNOWN:1697","0-19:111; 20-29:290; 30-39:535; 40-49:819; 50-59:1493; 60-69:2211; 70-79:2467; 80+:3536; UNKNOWN:1",NA,"pdf","Cases.in.Residents.Healthcare.Workers.of.LTCFs:23554; facilities:369; Deaths.Reported.in.LTCFs:5173; Total.number.of.COVID.patients.in.hospital.today:636; Net.new.hospitalizations:-4; X5.day.average.of.net.new.hospitalizations:-19.4; ICU:100; Net.New.number.ICU:-7; Total.number.intubated:46; Net.New.number.intubated:-5; Confirmed.COVID.19.hospitalizations:31; Suspected.COVID.19.hospitalizations:242","07/05/20"
5,"Michigan","1177247","73269; eth1_Hispanic/Latino:8%; eth1_Non-Hispanic Latino:65%; eth1_Unknown:27%; eth2_Arab:2%; eth2_Non-Arab:41%; eth2_Unknown:57%",NA,NA,NA,"AI/AN:  259; ASIAN/PI: 1464; BLACK:19987; MULTI: 4626; OTHER: 4028; UNKNOWN: 9334; WHITE:26391","0-19:2792; 20-29:9122; 30-39:9416; 40-49:10354; 50-59:11341; 60-69:9828; 70-79:6613; 80+:6614; UNKNOWN:9","FEMALE:34541; MALE:31404; UNKNOWN:144","6221; eth1_Hispanic/Latino:2%; eth1_Non-Hispanic Latino:83%; eth1_Unknown:15%; eth2_Arab:1%; eth2_Non-Arab:43%; eth2_Unknown:55%","AI/AN:   6; ASIAN/PI:  69; BLACK:2358; MULTI:  81; OTHER: 103; UNKNOWN: 195; WHITE:3085","0-19:0; 20-29:8; 30-39:50; 40-49:177; 50-59:462; 60-69:1057; 70-79:1605; 80+:2538; UNKNOWN:0","FEMALE:2821; MALE:3076; UNKNOWN:0",NA,NA,NA,NA,NA,"webpage","# of ED Discharges:420; # In Critical Care:179; # on Ventilators:99; # of Inpatients:317; ICU:174","07/06/20"
NA,"Minnesota","679693","38569; eth_hispanic:8529; eth_non_hispanic:23443; eth_unk:6597",NA,NA,NA,"AI/AN:  327; ASIAN: 2821; BLACK: 7928; HN/PI:   88; MULTI:  812; OTHER: 4826; UNKNOWN: 6038; WHITE:15742","0-5:823; 6-19:3488; 20-29:8474; 30-39:7479; 40-49:5848; 50-59:5153; 60-69:3067; 70-79:1736; 80-89:1601; 90-99:851; 100+:49; UNKNOWN:0","FEMALE:19308; MALE:18589; OTHER:11; UNKNOWN:661","1474; eth_hispanic:49; eth_non_hispanic:1220; eth_unk:205","AI/AN:  23; ASIAN:  51; BLACK: 125; HN/PI:   3; MULTI:  10; OTHER:  21; UNKNOWN: 143; WHITE:1097","0-5:0; 6-19:0; 20-29:2; 30-39:10; 40-49:18; 50-59:73; 60-69:176; 70-79:283; 80-89:507; 90-99:377; 100+:28; UNKNOWN:0","FEMALE:740; MALE:707; OTHER:0; UNKNOWN:11",NA,"4252; eth_hispanic:638; eth_non_hispanic:2925; eth_unk:549","AI/AN:  99; ASIAN: 389; BLACK: 866; HN/PI:   8; MULTI:  81; OTHER: 295; UNKNOWN: 481; WHITE:1893","0-5:33; 6-19:93; 20-29:280; 30-39:413; 40-49:479; 50-59:776; 60-69:764; 70-79:595; 80-89:505; 90-99:167; 100+:7; UNKNOWN:0","FEMALE:2025; MALE:2052; OTHER:0; UNKNOWN:35","manual",NA,"07/08/2020"
NA,"Mississippi","327087","31257; eth_hispanic:1544; eth_non_hispanic:21674; eth_unk:8039",NA,NA,NA,"AI/AN: 1076; ASIAN:  101; BLACK:15110; HN/PI:    0; MULTI:    0; OTHER: 2824; UNKNOWN: 3499; WHITE: 8647","0-17:2808; 18-29:6463; 30-39:4906; 40-49:4914; 50-59:4566; 60-69:3574; 70-79:2186; 80-89:1303; 90+:528; UNKNOWN:NA","FEMALE:0.581; MALE:0.414; UNKNOWN:0.006","1114; eth_hispanic:18; eth_non_hispanic:1023; eth_unk:73","AI/AN: 70; ASIAN:  0; BLACK:558; HN/PI:  0; MULTI:  0; OTHER: 18; UNKNOWN:  6; WHITE:462","0-17:0; 18-29:7; 30-39:18; 40-49:49; 50-59:102; 60-69:238; 70-79:297; 80-89:254; 90+:149; UNKNOWN:NA","FEMALE:571; MALE:537; UNKNOWN:0",NA,"3280",NA,"0-17:40; 18-29:142; 30-39:198; 40-49:387; 50-59:551; 60-69:741; 70-79:650; 80-89:407; 90+:164; UNKNOWN:NA",NA,"pdf","Age data manually entered","07/07/20"
