"X.1","state_name","total.tested","total.case","total.tested.today","total.positive.today","total.death.today","positive_race","positive_age","positive_gender","total.death","death_race","death_age","death_gender","comorbidities","total_hosp","hosp_race","hosp_age","hosp_gender","platform","comments","last.update"
9,"Georgia","1646401","195435; eth_Hispanic/Latino:25148; eth_Non-Hispanic/Latino:84559; eth_Unknown:85728",NA,NA,NA,"AI/AN:  160; ASIAN: 2396; BLACK:49716; HN/PI:  238; OTHER:14027; UNKNOWN:72138; WHITE:56760","0-0:758; 1-4:2178; 5-9:3024; 10-17:9972; 18-29:47446; 30-39:33675; 40-49:31201; 50-59:28212; 60-69:18705; 70-79:10628; 80+:7616; UNKNOWN:2020","FEMALE:100819; MALE:87020; UNKNOWN:7596","3842; eth_Hispanic/Latino:232; eth_Non-Hispanic/Latino:3526; eth_Unknown:84","AI/AN:   3; ASIAN:  64; BLACK:1722; HN/PI:   8; OTHER: 117; UNKNOWN:  51; WHITE:1877","0-0:0; 1-4:0; 5-9:0; 10-17:1; 18-29:28; 30-39:75; 40-49:155; 50-59:352; 60-69:697; 70-79:1026; 80+:1507; UNKNOWN:1","FEMALE:1852; MALE:1988; UNKNOWN:2","Unknown:857; No:641; Yes:2344","19124",NA,"0-0:39; 1-4:42; 5-9:24; 10-17:147; 18-29:1254; 30-39:1805; 40-49:2582; 50-59:3541; 60-69:3857; 70-79:3136; 80+:2657; UNKNOWN:40",NA,"webpage",NA,"08/04/20"
NA,"Hawaii",NA,"2242",NA,NA,NA,"AI/AN:  0; ASIAN:468; BLACK: 16; HN/PI:551; MULTI:  0; OTHER: 51; UNKNOWN:  0; WHITE:266","0-19:171; 20-39:617; 40-59:551; 60+:349",NA,"26",NA,"0-19:0; 20-39:0; 40-59:4; 60+:21",NA,NA,"199",NA,"0-19:NA; 20-39:13; 40-59:42; 60+:88",NA,"manual",NA,"08/03/20"
NA,"Idaho","184060","21344; eth_hispanic:3701; eth_non_hispanic:7220; eth_unk:10422",NA,NA,NA,"AI/AN:   95.00; ASIAN:  257.00; BLACK:  378.00; HN/PI:   95.00; MULTI: 1116.00; OTHER: 3694.00; UNKNOWN:   74.31; WHITE:15509.00","0-17:1862; 18-29:6584; 30-39:3692; 40-49:3233; 50-59:2654; 60-69:1644; 70-79:959; 80+:696","FEMALE:10889; MALE:10336","197; eth_hispanic:21; eth_non_hispanic:167; eth_unk:NA","AI/AN:  0; ASIAN:  2; BLACK:  3; HN/PI:  0; MULTI:  0; OTHER:  0; UNKNOWN:  0; WHITE:177","0-17:0; 18-29:0; 30-39:1; 40-49:3; 50-59:5; 60-69:23; 70-79:45; 80+:120","FEMALE:93; MALE:104",NA,"874",NA,NA,NA,"manual","Percentages present. Manual entry.","08/03/20"
4,"Illinois","2806797; age_Unknown:116827; age_<20:225960; age_20-29:427550; age_30-39:414783; age_40-49:378563; age_50-59:419217; age_60-69:375298; age_70-79:240756; age_80+:207843; gender_Male:1109769; gender_Female:1463183; gender_Unknown/Left Blank:233845; race_White:801505; race_Black:250839; race_Left Blank:1408179; race_Other:87987; race_Asian:42568; race_Hispanic:210953; race_NH/PI*:2693; race_AI/AN**:2073","183241",28475,1298,10,"AI/AN:  256; ASIAN: 4785; BLACK:30102; HISPANIC:54475; HN/PI:  414; OTHER: 6779; UNKNOWN:42513; WHITE:43917","0-19:17327; 20-29:33730; 30-39:30093; 40-49:30805; 50-59:29169; 60-69:20072; 70-79:11090; 80+:10906; UNKNOWN:49","FEMALE:94000; MALE:85969; UNKNOWN:3272","7526","AI/AN:  10; ASIAN: 357; BLACK:2061; HISPANIC:1566; HN/PI:   9; OTHER:  50; UNKNOWN: 108; WHITE:3365","0-19:5; 20-29:28; 30-39:116; 40-49:265; 50-59:627; 60-69:1350; 70-79:1808; 80+:3327; UNKNOWN:0","FEMALE:3462; MALE:4059; UNKNOWN:5",NA,NA,NA,NA,NA,"webpage",NA,"08/03/20"
12,"Indiana","775482; age_0-19:75968; age_20-29:128204; age_30-39:121233; age_40-49:114259; age_50-59:120932; age_60-69:105317; age_70-79:65428; age_80+:40317; age_Unknown:3824; gender_F:439923; gender_M:322483; gender_Unknown:13076; race_Asian:7223; race_Black or African American:65670; race_Other Race:100073; race_Unknown:131943; race_White:470573; eth_Hispanic or Latino:27296; eth_Not Hispanic or Latino:311663; eth_Unknown:436523","68433; eth_Hispanic or Latino:7234; eth_Not Hispanic or Latino:23740; eth_Unknown:37459",72,579,3,"ASIAN:  875; BLACK: 7856; OTHER:11227; UNKNOWN:15332; WHITE:33143","0-19:6380; 20-29:12415; 30-39:10816; 40-49:11017; 50-59:10281; 60-69:7740; 70-79:4854; 80+:4893; UNKNOWN:37","FEMALE:35921; MALE:31440; UNKNOWN:1072","2780; eth_Hispanic or Latino:57; eth_Not Hispanic or Latino:1441; eth_Unknown:1282","ASIAN:  15; BLACK: 392; OTHER: 371; UNKNOWN: 196; WHITE:1806","0-19:2; 20-29:9; 30-39:20; 40-49:46; 50-59:141; 60-69:444; 70-79:685; 80+:1429; UNKNOWN:4","FEMALE:1351; MALE:1374; UNKNOWN:55",NA,NA,NA,NA,NA,"interactive","BEDS_ICU_TOTAL:2174; BEDS_ICU_OCCUPIED_COVID_19:310; BEDS_ICU_NO_OCCUPIED_COVID_19:1012; BEDS_AVAILABLE_ICU_BEDS_TOTAL:852; VENTS_TOTAL:2863; VENTS_ALL_USE_COVID_19:81; VENTS_NON_COVID_PTS_ON_VENTS:356; VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE:2426; PCT_BEDS_ICU_OCCUPIED_COVID_19:14.26; PCT_BEDS_ICU_NO_OCCUPIED_COVID_19:46.55; PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL:39.19; PCT_VENTS_ALL_USE_COVID_19:2.83; PCT_VENTS_NON_COVID_PTS_ON_VENTS:12.43; PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE:84.74","08/02/20"
NA,"Iowa","488132","45781; eth_hispanic:0.19; eth_non_hispanic:0.65; eth_unk:0.16",NA,NA,NA,"AI/AN:0.01; ASIAN:0.05; BLACK:0.08; HN/PI:0.01; OTHER:0.01; UNKNOWN:0.18; WHITE:0.67","0-17:0.07; 18-40:0.48; 41-60:0.29; 61-80:0.12; 80+:0.04","FEMALE:0.49; MALE:0.5; UNKNOWN:0.01","878; eth_hispanic:0.07; eth_non_hispanic:0.81; eth_unk:0.12","AI/AN:0.01; ASIAN:0.03; BLACK:0.05; HN/PI:0.01; OTHER:0.00; UNKNOWN:0.10; WHITE:0.80","0-17:0; 18-40:0.02; 41-60:0.1; 61-80:0.4; 80+:0.48","FEMALE:0.47; MALE:0.53; UNKNOWN:0",NA,NA,NA,NA,NA,"manual",NA,"08/03/20"
NA,"Kansas","292507","27812; eth_hispanic:9223; eth_non_hispanic:12586; eth_unk:6003",NA,NA,NA,"AI/AN:  184; ASIAN:  976; BLACK: 2059; OTHER: 1511; UNKNOWN: 4842; WHITE:18240","0-9:838; 10-17:1663; 18-24:5029; 25-34:5324; 35-44:4243; 45-54:4625; 55-64:3150; 65-74:1572; 75-84:787; 85+:572; UNKNOWN:9","FEMALE:13653; MALE:13744; UNKNOWN:415","358; eth_hispanic:56; eth_non_hispanic:286; eth_unk:16","AI/AN:  3; ASIAN:  9; BLACK: 65; OTHER: 15; UNKNOWN: 10; WHITE:256","0-9:0; 10-17:0; 18-24:1; 25-34:4; 35-44:21; 45-54:7; 55-64:48; 65-74:76; 75-84:80; 85+:121; UNKNOWN:NA","FEMALE:156; MALE:202; UNKNOWN:0",NA,"1751; eth_hispanic:523; eth_non_hispanic:1105; eth_unk:123","AI/AN:  13; ASIAN:  53; BLACK: 249; OTHER: 149; UNKNOWN:  87; WHITE:1200","0-9:19; 10-17:9; 18-24:62; 25-34:122; 35-44:265; 45-54:201; 55-64:350; 65-74:331; 75-84:231; 85+:161; UNKNOWN:0",NA,"manual",NA,"08/03/20"
20,"Kentucky","Serology","31511; eth_Hispanic:2829; eth_Non-Hispanic:17093; eth_Unknown:11589",NA,NA,NA,"AI/AN:   92; ASIAN:  513; BLACK: 2503; HN/PI:   42; MULTI:  139; OTHER: 1091; UNKNOWN:11245; WHITE:15886","0-9:1135; 10-19:2568; 20-29:6105; 30-39:5030; 40-49:4770; 50-59:4512; 60-69:3403; 70-79:2121; 80+:1835; UNKNOWN:32","FEMALE:16524; MALE:14766; UNKNOWN:221","744; eth_Hispanic:27; eth_Non-Hispanic:627; eth_Unknown:90","AI/AN:  0; ASIAN: 11; BLACK:100; HN/PI:  0; MULTI:  5; OTHER: 14; UNKNOWN: 59; WHITE:555","0-9:1; 10-19:0; 20-29:0; 30-39:6; 40-49:16; 50-59:47; 60-69:123; 70-79:181; 80+:370; UNKNOWN:0","FEMALE:401; MALE:343; UNKNOWN:0",NA,"Number of patients Currently Hospitalized; eth_Hispanic:294; eth_Non-Hispanic:2956; eth_Unknown:566","AI/AN:   6; ASIAN: 126; BLACK: 532; HN/PI:   2; MULTI:  26; OTHER: 127; UNKNOWN: 462; WHITE:2535","0-9:28; 10-19:63; 20-29:284; 30-39:362; 40-49:470; 50-59:638; 60-69:716; 70-79:641; 80+:614; UNKNOWN:0","FEMALE:2035; MALE:1775; UNKNOWN:6","arcgis","icu_0-9:5; icu_10-19:9; icu_20-29:45; icu_30-39:78; icu_40-49:103; icu_50-59:212; icu_60-69:304; icu_70-79:274; icu_80+:182; icu_Unconfirmed:0; icu_F:550; icu_M:658; icu_U:4; recovered:5.18; total_icu:1212","08/03/20"
6,"Louisiana","1393910","120846",NA,NA,NA,"AI/AN:  260; ASIAN: 5120; BLACK:41962; HN/PI:  133; OTHER: 9557; UNKNOWN:15372; WHITE:37524","0-17:10164; 18-29:26614; 30-39:19853; 40-49:18218; 50-59:17661; 60-69:13857; 70+:14293","FEMALE:0.56; MALE:0.43; UNKNOWN:0.01","3910; eth_Hispanic/Latino:2.00%; eth_Non-Hispanic/Latino:90.00%; eth_Unknown:8.00%","AI/AN:   4; ASIAN:  26; BLACK:1884; HN/PI:   5; OTHER:  19; UNKNOWN:   1; WHITE:1803","0-17:4; 18-29:17; 30-39:71; 40-49:136; 50-59:342; 60-69:692; 70+:2648","FEMALE:0.48; MALE:0.52; UNKNOWN:0","Asthma:4.08%; Cancer:7.64%; Cardiac Disease:22.20%; Chronic Kidney Disease:21.53%; Congestive Heart Failure:15.26%; Diabetes:37.91%; Hypertension:62.17%; Neurological:17.45%; Obesity:19.81%; Pulmonary:12.87%",NA,NA,NA,NA,"arcgis + tableau + downloadable csv","curr_hosp:1496; curr_vent:230; Beds_In Use:9277; Beds_Still Available:5128; Hospital Vents_In Use:653; Hospital Vents_Still Available:1595; ICU Beds_In Use:1485; ICU Beds_Still Available:628","08/03/20"
26,"Maine","173329","3970; eth_Not Hispanic or Latino:3161; eth_Unknown:646; eth_Hispanic or Latino:163",NA,NA,NA,"AI/AN:   6; ASIAN: 104; BLACK: 879; HN/PI:   2; MULTI:  28; OTHER: 117; UNKNOWN: 390; WHITE:2444","0-19:366; 20-29:649; 30-39:609; 40-49:591; 50-59:654; 60-69:459; 70-79:319; 80+:323","FEMALE:2063; MALE:1907","124; eth_Not Hispanic or Latino:100; eth_Unknown:19; eth_Hispanic or Latino:0","AI/AN:  0; ASIAN:  0; BLACK:  4; HN/PI:  0; MULTI:  0; OTHER:  0; UNKNOWN:  8; WHITE:107",NA,"FEMALE:63; MALE:61",NA,"389; eth_Not Hispanic or Latino:328; eth_Unknown:48; eth_Hispanic or Latino:7","AI/AN:  0; ASIAN: 12; BLACK: 39; HN/PI:  0; MULTI:  0; OTHER:  4; UNKNOWN: 15; WHITE:313",NA,"FEMALE:169; MALE:220","tableau and interactive webpage","Total Hospitalized:12; In Critical Care:3; On a Ventilator:1; Available Critical Care Beds:151; Total Critical Care Beds:384; Available Ventilators:266; Total Ventilators:321; Alternative Ventilators:444; recovered:3396","08/03/20"
10,"Maryland","1294065","91144",NA,NA,NA,"HISPANIC:21896; NH ASIAN: 1698; NH BLACK:28163; NH OTHER: 4148; NH WHITE:20140; UNKNOWN:15099","0-9:3083; 10-19:5720; 20-29:15832; 30-39:17180; 40-49:15336; 50-59:13625; 60-69:9415; 70-79:5835; 80+:5118","FEMALE:47907; MALE:43237","3523","HISPANIC: 402; NH ASIAN: 133; NH BLACK:1434; NH OTHER:  37; NH WHITE:1497; UNKNOWN:  20","0-9:0; 10-19:1; 20-29:20; 30-39:50; 40-49:111; 50-59:285; 60-69:568; 70-79:856; 80+:1616; UNKNOWN:16","FEMALE:1732; MALE:1791",NA,"12832",NA,NA,NA,"arcgis + webpage","Currently hospitalized :548; Acute care :413; Intensive care :135; Released from isolation :5740","08/04/20"
1,"Massachusetts","1206512","118458",13312,353,11,"HISPANIC:23250; NH ASIAN: 2494; NH BLACK:11034; NH OTHER: 6452; NH WHITE:36914; UNKNOWN:38314","0-19:7157; 20-29:17420; 30-39:18036; 40-49:16750; 50-59:18604; 60-69:14965; 70-79:9850; 80+:15411; UNKNOWN:265","FEMALE:64491; MALE:52158; UNKNOWN:1809","8638; Hosp_Yes:4640; Hosp_No:1362; Hosp_Unknown:2636; Preexist_Yes:4286; Preexist_No:78; Preexist_Unknown:4274","HISPANIC: 603; NH ASIAN: 220; NH BLACK: 708; NH OTHER: 552; NH WHITE:6496; UNKNOWN:  59","0-19:0; 20-29:17; 30-39:35; 40-49:91; 50-59:314; 60-69:888; 70-79:1877; 80+:5416; UNKNOWN:0","FEMALE:4645; MALE:3991",NA,"11935","HISPANIC:1647; NH ASIAN: 385; NH BLACK:1409; NH OTHER: 934; NH WHITE:5922; UNKNOWN:1639","0-19:119; 20-29:310; 30-39:567; 40-49:855; 50-59:1541; 60-69:2300; 70-79:2567; 80+:3676; UNKNOWN:1",NA,"pdf","Cases.in.Residents.Healthcare.Workers.of.LTCFs:24239; facilities:376; Deaths.Reported.in.LTCFs:5504; Total.number.of.COVID.patients.in.hospital.today:406; Net.new.hospitalizations:37; X5.day.average.of.net.new.hospitalizations:8.4; ICU:68; Net.New.number.ICU:15; Total.number.intubated:33; Net.New.number.intubated:7; Confirmed.COVID.19.hospitalizations:22; Suspected.COVID.19.hospitalizations:154","08/02/20"
5,"Michigan","1951555","92374; eth1_Hispanic/Latino:8%; eth1_Non-Hispanic Latino:65%; eth1_Unknown:27%; eth2_Arab:2%; eth2_Non-Arab:45%; eth2_Unknown:53%",NA,NA,NA,"AI/AN:  327; ASIAN/PI: 1633; BLACK:22505; MULTI: 5676; OTHER: 5235; UNKNOWN:12335; WHITE:35578","0-9:1323; 10-19:4609; 20-29:13224; 30-39:11989; 40-49:12644; 50-59:13482; 60-69:11359; 70-79:7440; 80+:7187; UNKNOWN:32","FEMALE:43821; MALE:39324; UNKNOWN:144","6467; eth1_Hispanic/Latino:2%; eth1_Non-Hispanic Latino:83%; eth1_Unknown:15%; eth2_Arab:1%; eth2_Non-Arab:45%; eth2_Unknown:54%","AI/AN:   6; ASIAN/PI:  70; BLACK:2439; MULTI:  81; OTHER: 104; UNKNOWN: 205; WHITE:3229","0-9:0; 10-19:0; 20-29:12; 30-39:54; 40-49:189; 50-59:492; 60-69:1090; 70-79:1658; 80+:2639; UNKNOWN:0","FEMALE:2924; MALE:3210; UNKNOWN:0",NA,NA,NA,NA,NA,"webpage","# of ED Discharges:462; # In Critical Care:243; # on Ventilators:132; # of Inpatients:460; ICU:232","08/03/20"
NA,"Minnesota","1070925","55938; eth_hispanic:10801; eth_non_hispanic:36357; eth_unk:9402",NA,NA,NA,"AI/AN:  485; ASIAN: 3487; BLACK:11686; HN/PI:  119; MULTI:  949; OTHER: 6469; UNKNOWN: 7562; WHITE:25803","0-5:1248; 6-19:6569; 20-29:13370; 30-39:10438; 40-49:8139; 50-59:7274; 60-69:4297; 70-79:2317; 80-89:1878; 90-99:966; 100+:54; UNKNOWN:10","FEMALE:28664; MALE:27400; OTHER:11; UNKNOWN:485","1616; eth_hispanic:73; eth_non_hispanic:1521; eth_unk:22","AI/AN:  32; ASIAN:  73; BLACK: 155; HN/PI:   3; MULTI:  22; OTHER:  26; UNKNOWN:  15; WHITE:1290","0-5:1; 6-19:0; 20-29:4; 30-39:14; 40-49:22; 50-59:81; 60-69:196; 70-79:308; 80-89:541; 90-99:417; 100+:32; UNKNOWN:0","FEMALE:801; MALE:760; OTHER:0; UNKNOWN:33",NA,"5298; eth_hispanic:801; eth_non_hispanic:3820; eth_unk:491","AI/AN: 119; ASIAN: 461; BLACK:1184; HN/PI:  12; MULTI:  90; OTHER: 437; UNKNOWN: 377; WHITE:2432","0-5:51; 6-19:128; 20-29:394; 30-39:527; 40-49:605; 50-59:926; 60-69:929; 70-79:748; 80-89:598; 90-99:196; 100+:9; UNKNOWN:1","FEMALE:2550; MALE:2554; OTHER:0; UNKNOWN:8","manual",NA,"08/03/2020"
