,X,state_name,Link,total.tested,total.case,total.tested.today,total.positive.today,total.death.today,positive_race,positive_age,positive_gender,positivity.rate,county.details,total.death,death_race,death_age,death_gender,comorbidities,total_hosp,hosp_race,hosp_age,hosp_gender,platform,comments,last.update
11,12,Washington,https://www.doh.wa.gov/emergencies/coronavirus,629256,36985,NA,NA,NA,Unknown Race/Ethnicity:10470; Hispanic:11658; Non-Hispanic American Indian or Alaska Native:444; Non-Hispanic Asian:1498; Non-Hispanic Black:1455; Non-Hispanic White:9458; Non-Hispanic Native Hawaiian or Other Pacific Islander:792; Non-Hispanic Multiracial:547; Non-Hispanic Other Race:663,0-19:10%; 20-39:37%; 40-59:31%; 60-79:16%; 80+:6%; Unknown:0%,Unknown:3%; Female:50%; Male:46%,,NA,1370,Unknown Race/Ethnicity:69; Hispanic:163; Non-Hispanic American Indian or Alaska Native:23; Non-Hispanic Asian:112; Non-Hispanic Black:45; Non-Hispanic White:901; Non-Hispanic Native Hawaiian or Other Pacific Islander:12; Non-Hispanic Multiracial:16; Non-Hispanic Other Race:29,0-19:0%; 20-39:1%; 40-59:9%; 60-79:38%; 80+:52%; Unknown:0%,Unknown:1%; Female:46%; Male:53%,,4544,Unknown Race/Ethnicity:1214; Hispanic:971; Non-Hispanic American Indian or Alaska Native:62; Non-Hispanic Asian:249; Non-Hispanic Black:185; Non-Hispanic White:1645; Non-Hispanic Native Hawaiian or Other Pacific Islander:99; Non-Hispanic Multiracial:48; Non-Hispanic Other Race:71,0-19:1%; 20-39:12%; 40-59:28%; 60-79:38%; 80+:21%; Unknown:0%,Unknown:2%; Female:45%; Male:54%,power BI + webpage,Hospitals Reporting:69; Total COVID-19 Patients Hospitalized:222; Total COVID-19 Patients Ventilated:37,7/6/20
12,13,Indiana,https://coronavirus.in.gov,526592; age_0-19:39875; age_20-29:78718; age_30-39:81987; age_40-49:80046; age_50-59:86591; age_60-69:76306; age_70-79:47937; age_80+:31873; age_Unknown:3259; gender_F:302918; gender_M:212409; gender_Unknown:11265; race_Asian:4414; race_Black or African American:45797; race_Other Race:71567; race_Unknown:108001; race_White:296813; eth_Hispanic or Latino:17219; eth_Not Hispanic or Latino:200410; eth_Unknown:308963,48331; eth_Hispanic or Latino:5494; eth_Not Hispanic or Latino:16179; eth_Unknown:26658,154,329,3,Unknown:11492; Asian:721; Black or African American:5798; Other Race:8576; White:21744,0-19:3335; 20-29:7775; 30-39:7803; 40-49:8027; 50-59:7576; 60-69:5856; 70-79:3699; 80+:4228; Unknown:32,Unknown:886; F:25214; M:22231,,NA,2505; eth_Hispanic or Latino:48; eth_Not Hispanic or Latino:1336; eth_Unknown:1121,Unknown:180; Asian:13; Black or African American:363; Other Race:328; White:1621,0-19:2; 20-29:7; 30-39:18; 40-49:46; 50-59:129; 60-69:399; 70-79:610; 80+:1294; Unknown:0,Unknown:54; F:1221; M:1230,,,,,,interactive,beds_all_occupied_beds_covid_19:613; beds_icu_total:2418; beds_icu_occupied_beds_covid_19:229; bed_occupied_icu_non_covid:1162; beds_available_icu_beds_total:1027; vents_total:2924; vents_all_in_use_covid_19:88; vents_non_covid_pts_on_vents:389; vents_all_available_vents_not_in_use:2447,7/5/20
13,14,Colorado,https://covid19.colorado.gov/case-data,357751,34257,NA,NA,NA,"AIAN - Non Hispanic:0.55%; Asian - Non Hispanic:2.42%; Black - Non Hispanic:5.28%; Hispanic, All Races:37.67%; Multiple - Non Hispanic:1.02%; NHOPI - Non Hispanic:0.37%; Other:0.83%; Unknown/Not Provided:17.8%; White - Non Hispanic:34.06%",0-9:889; 10-19:1971; 20-29:6442; 30-39:5956; 40-49:5701; 50-59:5203; 60-69:3541; 70-79:2207; 80+:2307; Unknown:40,Unknown:2.78%; Female:49.6%; Female to Male:0.01%; Male:47.58%; Male to Female:0.02%,x (by date),NA,1691,"AIAN - Non Hispanic:0.53%; Asian - Non Hispanic:3.37%; Black - Non Hispanic:6.51%; Hispanic, All Races:21.53%; Multiple - Non Hispanic:1.24%; NHOPI - Non Hispanic:0.35%; Other:0.41%; Unknown/Not Provided:3.73%; White - Non Hispanic:62.33%",10-19:3; 20-29:10; 30-39:12; 40-49:44; 50-59:111; 60-69:217; 70-79:396; 80+:898,Unknown:0.35%; Female:45%; Male:54.64%,,5591,,0-9:54; 10-19:76; 20-29:322; 30-39:498; 40-49:724; 50-59:976; 60-69:939; 70-79:659; 80+:430,,tableau,,7/6/20
14,15,Virginia,http://www.vdh.virginia.gov/coronavirus/,706588,66102,NA,354,0,Not Reported:15825; Asian or Pacific Islander:2163; Black:9530; Latino:22232; Native American:79; Other Race:1633; Two or more races:218; White:14068,0-9:2217; 10-19:4760; 20-29:11207; 30-39:12149; 40-49:11584; 50-59:9931; 60-69:6450; 70-79:3356; 80+:3457; Missing:637,Female:33062; Male:32246; Not Reported:440,,NA,1853,Not Reported:112; Asian or Pacific Islander:104; Black:410; Latino:203; Native American:2; Other Race:25; Two or more races:1; White:996,0-9:0; 10-19:0; 20-29:4; 30-39:13; 40-49:46; 50-59:112; 60-69:267; 70-79:461; 80+:948; Missing:2,Female:914; Male:929; Not Reported:10,,6435,Not Reported:223; Asian or Pacific Islander:358; Black:1590; Latino:2186; Native American:5; Other Race:140; Two or more races:21; White:1895,0-9:54; 10-19:59; 20-29:276; 30-39:556; 40-49:864; 50-59:1190; 60-69:1280; 70-79:1067; 80+:1063; Missing:9,Female:2956; Male:3453; Not Reported:9,tableau,total_hosp_today:17,7/5/20
15,16,Missouri,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,426745,23589; eth_HISPANIC:2641; eth_NON HISPANIC:14747; eth_REFUSED TO ANSWER:22; eth_UNKNOWN:6192; eth_TOTAL:23602,NA,NA,NA,BLACK:5758; MULTI RACE:513; OTHER RACE:374; REFUSED TO ANSWER RACE:7; UNKNOWN RACE:1949; WHITE:4949,0-19:1897; 20-24:2175; 25-29:2236; 30-34:2025; 35-39:1833; 40-44:1689; 45-49:1754; 50-54:1775; 55-59:1780; 60-64:1635; 65-69:1198; 70-74:984; 75-59:795; 80+:2041,Male:10843; Female:12840; Unknown:173,,NA,973; eth_HISPANIC:25; eth_NON HISPANIC:886; eth_UNKNOWN:116,BLACK:246; MULTI RACE:4; OTHER RACE:6; REFUSED TO ANSWER RACE:0; UNKNOWN RACE:18; WHITE:382,0-19:0; 80+:537; 20-29:3; 30-39:4; 40-49:20; 50-59:66; 60-69:147; 70-79:251,Male:501; Female:524; Unknown:3,,,,,,webpage + arcgis,,7/3/20
16,18,Alabama,http://www.alabamapublichealth.gov/covid19/index.html,454592,44878; eth_Hispanic/Latino:4194; eth_Not Hispanic/Latino:26126; eth_Unknown:14055,NA,NA,NA,Unknown:11162; Asian:190; Black:15481; Other:2549; White:14993,>= 65:7538; 0-4:774; 25-49:18376; 5-24:8368; 50-64:9000; Unknown:319,Unknown:364; Female:24828; Male:19183,,NA,1007; eth_Hispanic/Latino:31; eth_Not Hispanic/Latino:850; eth_Unknown:103,Unknown:33; Asian:4; Black:442; Other:17; White:488,>= 65:770; 0-4:2; 25-49:43; 5-24:2; 50-64:167,F:477; M:504,,2914,,,,"arcgis, pdf",CLN_ICU:843; CLN_VENT:473; HCW:3922; LTCF_Employee:1696; LTCF_Resident:2627,7/6/20
17,19,Wisconsin,https://www.dhs.wisconsin.gov/covid-19/data.htm,620974,32061; eth_hispanic:9427; eth_non-hispanic:18931; eth_unknown:3703,NA,NA,NA,Unknown:3242; AI/AN:298; Asian:1176; Black:5487; White:18185; MULTI/OTHERS:3673,0-9:1056; 10-19:2542; 20-29:7728; 30-39:5606; 40-49:4847; 50-59:4413; 60-69:2900; 70-79:1530; 80-89:967; 90+:472,Female:16416; Male:15570; Unknown:75,,NA,796; eth_hispanic:91; eth_non-hispanic:692; eth_unknown:13,Unknown:11; AI/AN:10; Asian:23; Black:188; White:554; MULTI/OTHERS:10,0-9:0; 10-19:0; 20-29:8; 30-39:8; 40-49:24; 50-59:60; 60-69:134; 70-79:206; 80-89:199; 90+:157,Female:370; Male:426; Unknown:0,,3602,,0-9:30; 10-19:52; 20-29:218; 30-39:306; 40-49:432; 50-59:596; 60-69:734; 70-79:631; 80-89:435; 90+:168,,,,7/6/20
18,20,Utah,https://coronavirus.utah.gov/case-counts/,375842,25469; com_Any Condition:5664; com_Former Smoker:1837; com_Chronic Pulmonary:1575; com_Diabetes:1378; com_Other:1251; com_Current Smoker:799; com_Cardiovascular:744; com_Immunocompromised:493; com_Chronic Kidney:279; com_Neurologic:246; com_Chronic Liver:137,1061,0,NA,Unknown:2848; American Indian/Alaska Native:620; Asian:568; Black/African American:657; Hispanic or Latino:10743; Native Hawaiian/Pacific Islander:953; White alone not Hispanic or Latino:9152; Other race:3248,0-1:119; 1-14:1633; 15-24:5225; 25-44:10046; 45-64:6518; 65-84:1711; 85+:209; Unknown:8,Female:12432; Male:13011,,NA,190,Unknown:8; American Indian/Alaska Native:11; Asian:9; Black/African American:0; Hispanic or Latino:44; Native Hawaiian/Pacific Islander:11; White alone not Hispanic or Latino:103; Other race:13,0-1:0; 1-14:0; 15-24:0; 25-44:0; 45-64:47; 65-84:92; 85+:45; Unknown:0,Female:39.5%; Male:60.5%,Any Condition:801; Diabetes:377; Other:284; Cardiovascular:236; Chronic Pulmonary:205; Former Smoker:199; Chronic Kidney:117; Immunocompromised:115; Neurologic:60; Current Smoker:53; Chronic Liver:31,1604,Unknown:50; American Indian/Alaska Native:86; Asian:39; Black/African American:43; Hispanic or Latino:640; Native Hawaiian/Pacific Islander:106; White alone not Hispanic or Latino:629; Other race:200,0-1:7; 1-14:9; 15-24:89; 25-44:399; 45-64:642; 65-84:403; 85+:55; Unknown:0,Female:46.7%; Male:53.3%,,cum_active_cases:10832; cum_estimate_recovered:14448; icu_Yes:438; icu_No:23722; icu_Under Investigation:1309; vent_Yes:194; vent_No:22048; vent_Under Investigation:3227; exp_Healthcare:926; exp_In-state Without Known Contact:3244; exp_Known Contact:15711; exp_Travel:549; exp_Unknown / Under Investigation:5039; contact_Household:9517; contact_Other:58; contact_Social:3260; contact_Unspecified:2380; contact_Workplace:496,7/6/20
19,21,Kentucky,https://kygeonet.maps.arcgis.com/apps/opsdashboard/index.html#/543ac64bc40445918cf8bc34dc40e334,399715,17155; eth_Non-Hisp:56.46074%; eth_Hispanic:11.31926%,NA,NA,NA,American Indian or Alaska Native:60; Asian:451; Black or African American:1651; Multiracial:79; Native Hawaiian or Other Pacific Islander:35; Other:645; Unknown:5477; White:8757,0-9:468; 10-19:958; 20-29:2979; 30-39:2829; 40-49:2728; 50-59:2570; 60-69:1967; 70-79:1310; 80+:1323; Unconfirmed:23,F:8982; M:7986; U:187,,NA,593; eth_Non-Hisp:89.715374%; eth_Hispanic:3.874626%,American Indian or Alaska Native:0; Asian:8; Black or African American:87; Multiracial:3; Native Hawaiian or Other Pacific Islander:0; Other:6; Unknown:38; White:451,0-9:1; 10-19:0; 20-29:0; 30-39:4; 40-49:13; 50-59:37; 60-69:91; 70-79:141; 80+:306; Unconfirmed:0,F:325; M:268; U:0,,2699,American Indian or Alaska Native:2; Asian:103; Black or African American:352; Multiracial:12; Native Hawaiian or Other Pacific Islander:2; Other:84; Unknown:237; White:1749,0-9:20; 10-19:52; 20-29:216; 30-39:255; 40-49:311; 50-59:443; 60-69:446; 70-79:390; 80+:408; Unconfirmed:0,F:1409; M:1131; U:1,arcgis,icu_0-9:1; icu_10-19:4; icu_20-29:11; icu_30-39:26; icu_40-49:29; icu_50-59:88; icu_60-69:111; icu_70-79:107; icu_80+:64; icu_Unconfirmed:0; icu_F:202; icu_M:239; icu_U:0; recovered:4785; total_icu:441,7/6/20
20,22,Delaware,https://coronavirus.delaware.gov/latest-data/,127179; race_Non-Hispanic White:56217; race_Non-Hispanic Black:26555; race_Hispanic/Latino:11026; race_Another/Multiple:7269; race_Asian/Pacific Islander:2166; race_Unknown:23946,12293,NA,NA,NA,Unknown:1180; Non-Hispanic White:3839; Hispanic/Latino:3342; Non-Hispanic Black:3148; Another/Multiple:608; Asian/Pacific Islander:176,0-4:156; 5-17:620; 18-34:3675; 35-49:2988; 50-64:2640; 65+:2214,Female:6771; Male:5503; Unknown:19,,NA,512,Unknown:21; Non-Hispanic White:322; Hispanic/Latino:31; Non-Hispanic Black:131; Another/Multiple:6; Asian/Pacific Islander:1,0-4:0; 5-17:0; 18-34:11; 35-49:14; 50-64:66; 65+:421,Female:271; Male:241,,,,,,,curr_hosp:15; Recoveries:6778,7/6/20
21,23,Arkansas,https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus,350396,24253; eth_hispanic:5913; eth_nonhispanic:18340,NA,NA,NA,black:5239; white:11282; na:64; asian:326; pi:1597; other_race:2254; unk_race:3491,0-17:3047; 18-24:3166; 25-44:8989; 45-64:6534; 65+:2517,male:13113; female:10829; unk_gender:311,,NA,292; eth_hispanic:24; eth_nonhispanic:268,black:70; white:159; na:0; asian:3; pi:27; other_race:19; unk_race:14,0-17:0; 18-24:0; 25-44:16; 45-64:68; 65+:208,,case_diabetes:1676; case_cardiac_disease:592; case_hypertension:2650; case_cpd:490; case_ckd:195; case_immunocompromised:170,1604,,,,pdf,curr_hosp:337; recovered:17834; active_cases:6127; curr_vent:81; ever_vent:247; nursingHomeRes:848; death_nursingHome:103; death_jailed:15; healthcareWorker:1438,7/6/20
22,24,New Mexico,https://cvprovider.nmhealth.org/public-dashboard.html#,380240,13507,NA,NA,NA,American Indian/Alaska Native:47.12%; Asian:0.65%; Black/African American:1.93%; White:11.78%; Unknown:6.74%; Hispanic/Latino:31.22%,0-9:601; 10-19:1238; 20-29:2493; 30-39:2462; 40-49:2070; 50-59:1915; 60-69:1420; 70-79:666; 80-89:418; 90+:177,Male:51.34%; Female:48.66%,,NA,515,,,,,2033,,,,public dashboard,recovered:5902; curr_hosp:129,7/6/20
23,25,Oregon,https://govstatus.egov.com/OR-OHA-COVID-19,267228,10395; eth_Hispanic:3802; eth_Not Hispanic:5259; eth_Unknown:1334,NA,NA,NA,Not available:1227; White:4291; Black:442; Asian:373; American Indian/Alaska Native:231; Paciﬁc Islander:315; Other:3243; Multiracial:273,0 to 9:408; 10 to 19:828; 20 to 29:2137; 30 to 39:1832; 40 to 49:1723; 50 to 59:1443; 60 to 69:979; 70 to 79:606; 80 and over:424; Not available:15,Not available:21; Female:5417; Male:4955; Non-binary:2,,NA,215; eth_Hispanic:26; eth_Not Hispanic:170; eth_Unknown:19,White:157; Black:6; Asian:9; Other:17; Multiracial:2; AI/AN:3; Pacific Is.:6; Unknown:15,0 to 9:0; 10 to 19:0; 20 to 29:0; 30 to 39:1; 40 to 49:3; 50 to 59:9; 60 to 69:41; 70 to 79:59; 80 and over:102; Not available:0,Not available:0; Female:94; Male:121; Non-binary:0,,1125; eth_Hispanic:293; eth_Not Hispanic:756; eth_Unknown:76,White:632; Black:52; Asian:49; Other:253; Multiracial:20; AI/AN:17; Pacific Is.:52; Refused:7; Unknown:43,0 to 9:8; 10 to 19:9; 20 to 29:63; 30 to 39:84; 40 to 49:141; 50 to 59:194; 60 to 69:238; 70 to 79:225; 80 and over:163; Not available:0,Female:527; Male:597; Unk:1,webpage,avail_Adult ICU beds:168; avail_Adult non-ICU beds:816; avail_Pediatric NICU/PICU beds:101; avail_Pediatric non-ICU beds:122; avail_Ventilators:797; total_Adult ICU beds:779; total_Adult non-ICU beds:4438; total_Pediatric NICU/PICU beds:322; total_Pediatric non-ICU beds:353; curr_Current hospitalized patients:183; curr_Current patients in ICU beds:61; curr_Current patients on ventilators:26,7/6/20
