"X","state_name","Link","total.tested","total.case","total.tested.today","total.positive.today","total.death.today","positive_race","positive_age","positive_gender","positivity.rate","county.details","total.death","death_race","death_age","death_gender","comorbidities","total_hosp","hosp_race","hosp_age","hosp_gender","platform","comments","last.update"
11,"Ohio","https://coronavirus.ohio.gov/wps/portal/gov/covid-19/dashboards/key-metrics/hospitalizations","4270933","202740; eth_Non-hispanic:143227; eth_Hispanic:10913; eth_Unknown:48600",NA,"11","0","Unknown:26093; White:118963; Black:34224; Other:12394; Multi:6140; Asian:4437; NH/PI:243; AI/AN:246","0-19:25254; 20-29:42166; 30-39:29945; 40-49:27288; 50-59:29156; 60-69:22223; 70-79:14226; 80+:12314; Unknown:168","Unknown:1560; Female:106251; Male:94929","",NA,"5239; eth_Non-hispanic:4941; eth_Hispanic:114; eth_Unknown:182; eth_Refuse:2","Unknown:113; White:4058; Black:897; Other:37; Multi:77; Asian:50; NH/PI:3; AI/AN:4","0-19:2; 20-29:13; 30-39:38; 40-49:86; 50-59:296; 60-69:720; 70-79:1329; 80+:2754; Unknown:1","Unknown:4; Female:2551; Male:2684","","18433; eth_Non-hispanic:15691; eth_Hispanic:977; eth_Unknown:1742; eth_Refuse:23","Unknown:657; White:11323; Black:4759; Other:659; Multi:611; Asian:354; NH/PI:37; AI/AN:23","0-19:406; 20-29:877; 30-39:1164; 40-49:1679; 50-59:2985; 60-69:3898; 70-79:3918; 80+:3503; Unknown:3","Unknown:39; Female:8963; Male:9431","tableau","today_hosp:2","10/27/2020"
12,"Washington","https://www.doh.wa.gov/emergencies/coronavirus","2372596","103500",NA,NA,NA,"Unknown Race/Ethnicity:34154; Hispanic:27185; Non-Hispanic American Indian or Alaska Native:1101; Non-Hispanic Asian:3462; Non-Hispanic Black:4026; Non-Hispanic White:28892; Non-Hispanic Native Hawaiian or Other Pacific Islander:1611; Non-Hispanic Multiracial:1788; Non-Hispanic Other Race:1281","0-19:15%; 20-39:40%; 40-59:28%; 60-79:13%; 80+:4%; Unknown:0%","Unknown:4%; Female:49%; Male:47%","",NA,"2321","Unknown Race/Ethnicity:39; Hispanic:323; Non-Hispanic American Indian or Alaska Native:58; Non-Hispanic Asian:163; Non-Hispanic Black:71; Non-Hispanic White:1561; Non-Hispanic Native Hawaiian or Other Pacific Islander:38; Non-Hispanic Multiracial:26; Non-Hispanic Other Race:42","0-19:0%; 20-39:2%; 40-59:9%; 60-79:38%; 80+:51%; Unknown:0%","Unknown:2%; Female:45%; Male:53%","","8322","Unknown Race/Ethnicity:2505; Hispanic:1674; Non-Hispanic American Indian or Alaska Native:122; Non-Hispanic Asian:387; Non-Hispanic Black:349; Non-Hispanic White:2840; Non-Hispanic Native Hawaiian or Other Pacific Islander:214; Non-Hispanic Multiracial:102; Non-Hispanic Other Race:129","0-19:2%; 20-39:14%; 40-59:28%; 60-79:38%; 80+:18%; Unknown:0%","Unknown:2%; Female:45%; Male:53%","power BI + webpage","","10/26/2020"
13,"Indiana","https://coronavirus.in.gov","1646542; age_0-19:278701; age_20-29:307623; age_30-39:237440; age_40-49:213139; age_50-59:221213; age_60-69:191749; age_70-79:118134; age_80+:73797; age_Unknown:4746; gender_F:904025; gender_M:712348; gender_Unknown:30169; race_Asian:29875; race_Black or African American:127472; race_Other Race:196777; race_Unknown:227410; race_White:1065008; eth_Hispanic or Latino:57968; eth_Not Hispanic or Latino:694331; eth_Unknown:894243","166564; eth_Hispanic or Latino:13292; eth_Not Hispanic or Latino:67150; eth_Unknown:86122","371","2044","21","Unknown:32450; Asian:2004; Black or African American:13887; Other Race:22162; White:96061","0-19:22088; 20-29:32770; 30-39:24050; 40-49:24408; 50-59:23689; 60-69:18318; 70-79:11451; 80+:9687; Unknown:103","Unknown:2314; F:87423; M:76827","",NA,"3958; eth_Hispanic or Latino:101; eth_Not Hispanic or Latino:1978; eth_Unknown:1879","Unknown:290; Asian:22; Black or African American:473; Other Race:539; White:2634","0-19:2; 20-29:12; 30-39:29; 40-49:70; 50-59:196; 60-69:610; 70-79:1006; 80+:2033; Unknown:0","Unknown:59; F:1930; M:1969","","","","","","interactive","BEDS_ICU_TOTAL:2164; BEDS_ICU_OCCUPIED_COVID_19:494; BEDS_ICU_NO_OCCUPIED_COVID_19:920; BEDS_AVAILABLE_ICU_BEDS_TOTAL:750; VENTS_TOTAL:2833; VENTS_ALL_USE_COVID_19:156; VENTS_NON_COVID_PTS_ON_VENTS:458; VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE:2219; PCT_BEDS_ICU_OCCUPIED_COVID_19:22.83; PCT_BEDS_ICU_NO_OCCUPIED_COVID_19:42.51; PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL:34.66; PCT_VENTS_ALL_USE_COVID_19:5.51; PCT_VENTS_NON_COVID_PTS_ON_VENTS:16.17; PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE:78.33","10/26/2020"
14,"Colorado","https://covid19.colorado.gov/case-data","1168725","97300",NA,NA,NA,"Unknown:0.155; American Indian or Alaska Native:0.005; Asian:0.018; Black or African American:0.037; Hispanic, All Races:0.361; Multiple Races - Non Hispanic:0.015; Native Hawaiian or Other Pacific Islander:0.004; Other:0.01; White - Non Hispanic:0.394","0-9:0.038; 10-19:0.108; 20-29:0.222; 30-39:0.175; 40-49:0.153; 50-59:0.133; 60-69:0.085; 70-79:0.047; 80+:0.037; Unknown:0.001","Unknown:0.046; Female:0.488; Male:0.466","x (by date)",NA,"2226","Unknown:0.019; American Indian or Alaska Native:0.006; Asian:0.029; Black or African American:0.06; Hispanic, All Races:0.234; Multiple Races - Non Hispanic:0.023; Native Hawaiian or Other Pacific Islander:0.003; Other:0.006; White - Non Hispanic:0.62","10-19:0.002; 20-29:0.007; 30-39:0.009; 40-49:0.03; 50-59:0.067; 60-69:0.126; 70-79:0.233; 80+:0.527","Unknown:0.004; Female:0.453; Male:0.543","","8658","","","","tableau","","10/26/2020"
15,"Virginia","http://www.vdh.virginia.gov/coronavirus/","426244","175409",NA,"1134","19","Not Reported:34636; Asian or Pacific Islander:5405; Black:34466; Latino:38824; Native American:217; Other Race:4160; Two or more races:1532; White:56169","0-9:6520; 10-19:17887; 20-29:36320; 30-39:29576; 40-49:26557; 50-59:24577; 60-69:16211; 70-79:8780; 80+:7595; Missing:1386","Female:90011; Male:84283; Not Reported:1115","",NA,"3600","Not Reported:101; Asian or Pacific Islander:159; Black:962; Latino:327; Native American:7; Other Race:48; Two or more races:6; White:1990","0-9:0; 10-19:1; 20-29:8; 30-39:35; 40-49:91; 50-59:252; 60-69:574; 70-79:916; 80+:1719; Missing:4","Female:1732; Male:1854; Not Reported:14","","12320","Not Reported:318; Asian or Pacific Islander:545; Black:3623; Latino:3231; Native American:12; Other Race:251; Two or more races:69; White:4271","0-9:104; 10-19:132; 20-29:505; 30-39:1038; 40-49:1556; 50-59:2256; 60-69:2478; 70-79:2197; 80+:2034; Missing:20","Female:5808; Male:6502; Not Reported:10","tableau","total_hosp_today:60","10/27/2020"
17,"Rhode Island","https://docs.google.com/spreadsheets/d/1n-zMS9Al94CPj_Tc3K7Adin-tN9x1RSjjx2UzJ4SV7Q/edit#gid=771623753","1077670","31445",NA,NA,NA,"Pending further information:<5; Hispanic or Latino†:10015; American Indian or Alaska Native*:86; Asian*:420; Black or African American*:2734","0-4:456; 5-9:490; 10-14:583; 15-18:1073; 19-24:3283; 25-29:2445; 30-39:4299; 40-49:3856; 50-59:3955; 60-69:2746; 70-79:1709; 80-89:1427","Female:14864; Male:12271; Other:11; Pending further information:128","",NA,"1188","Pending further information:0; Hispanic or Latino†:108; American Indian or Alaska Native*:<5; Asian*:13; Black or African American*:58","0-4:0; 5-9:0; 10-14:0; 15-18:0; 19-24:0; 25-29:0; 30-39:7; 40-49:16; 50-59:51; 60-69:122; 70-79:266; 80-89:374","Female:615; Male:540; Other:0; Pending further information:0","","3229","Pending further information:<5; Hispanic or Latino†:912; American Indian or Alaska Native*:5; Asian*:46; Black or African American*:316","0-4:25; 5-9:11; 10-14:16; 15-18:24; 19-24:89; 25-29:101; 30-39:233; 40-49:337; 50-59:468; 60-69:596; 70-79:569; 80-89:406","Female:1481; Male:1569; Other:<5; Pending further information:<5","google doc","","10/27/2020"
18,"Alabama","http://www.alabamapublichealth.gov/covid19/index.html","1312887","186437; eth_Hispanic/Latino:8235; eth_Not Hispanic/Latino:76447; eth_Unknown:74757",NA,NA,NA,"Unknown:49058; Asian:608; Black:37282; Other:15664; White:56827",">= 65:26766; 0-4:3161; 18-24:22989; 25-49:60666; 5-17:13172; 50-64:32685","Female:87704; Male:69709; Unknown:2026","",NA,"2892; eth_Hispanic/Latino:76; eth_Not Hispanic/Latino:2289; eth_Unknown:334","Unknown:83; Asian:9; Black:1024; Other:74; White:1509",">= 65:2077; 0-4:4; 18-24:4; 25-49:128; 50-64:486","F:1288; M:1404; U:1","","19974","","","","arcgis, pdf","CLN_ICU:2035; CLN_VENT:1164; HCW:10359; LTCF_Employee:3473; LTCF_Resident:6644","10/27/2020"
19,"Wisconsin","https://www.dhs.wisconsin.gov/covid-19/data.htm","1995469","206311; eth_hispanic:27738; eth_non-hispanic:145915; eth_unknown:32658",NA,NA,NA,"Unknown:18039; AI/AN:2654; Asian/PI:4486; Black:15657; White:151477; MULTI/OTHERS:13998","0-9:6893; 10-19:23679; 20-29:45412; 30-39:31935; 40-49:28662; 50-59:30990; 60-69:21112; 70-79:10814; 80-89:5052; 90+:1762","Female:104987; Male:100953; Unknown:371","",NA,"1852; eth_hispanic:175; eth_non-hispanic:1608; eth_unknown:69","Unknown:40; AI/AN:24; Asian/PI:45; Black:252; White:1458; MULTI/OTHERS:33","0-9:0; 10-19:0; 20-29:12; 30-39:18; 40-49:49; 50-59:118; 60-69:282; 70-79:463; 80-89:564; 90+:346","Female:826; Male:1024; Unknown:2","","10636","","0-9:91; 10-19:187; 20-29:623; 30-39:763; 40-49:949; 50-59:1564; 60-69:2118; 70-79:2254; 80-89:1588; 90+:499","","","","10/27/2020"
20,"Utah","https://coronavirus.utah.gov/case-counts/","1414509","107228; casecom_5169:50.6% / 49.4%",NA,NA,NA,"Unknown:10365; American Indian/Alaska Native:1630; Asian:2302; Black/African American:1846; Hispanic or Latino:30526; Native Hawaiian/Pacific Islander:3560; White alone not Hispanic or Latino:57153; Other race:10741","0-1:361; 1-14:8250; 15-24:28137; 25-44:38115; 45-64:24312; 65-84:7184; 85+:856; Unknown:13","Female:53619; Male:53496","",NA,"578","Unknown:32; American Indian/Alaska Native:38; Asian:26; Black/African American:8; Hispanic or Latino:119; Native Hawaiian/Pacific Islander:27; White alone not Hispanic or Latino:325; Other race:43","0-1:0; 1-14:0; 15-24:0; 25-44:20; 45-64:125; 65-84:280; 85+:149; Unknown:0","Female:37.2%; Male:62.3%","578:572","5169","Unknown:117; American Indian/Alaska Native:184; Asian:130; Black/African American:104; Hispanic or Latino:1547; Native Hawaiian/Pacific Islander:365; White alone not Hispanic or Latino:2684; Other race:530","0-1:27; 1-14:62; 15-24:359; 25-44:1209; 45-64:1782; 65-84:1491; 85+:239; Unknown:0","Female:49.4%; Male:50.6%","","cum_active_cases:27704; cum_estimate_recovered:78946; icu_Yes:1083; icu_No:99984; icu_Under Investigation:6161; vent_Yes:423; vent_No:34860; vent_Under Investigation:71945","10/27/2020"
21,"Delaware","https://coronavirus.delaware.gov/latest-data/","343141; race_Non-Hispanic White:159918; race_Non-Hispanic Black:62367; race_Another/Multiple:28166; race_Hispanic/Latino:26192; race_Asian/Pacific Islander:7477; race_Unknown:59021","24249",NA,NA,NA,"Unknown:1728; Non-Hispanic White:9506; Non-Hispanic Black:6316; Hispanic/Latino:5235; Another/Multiple:1121; Asian/Pacific Islander:343","0-4:440; 5-17:1743; 18-34:7773; 35-49:5570; 50-64:4948; 65+:3775","Female:13081; Male:11128; Unknown:40","",NA,"686","Unknown:1; Non-Hispanic White:443; Non-Hispanic Black:180; Hispanic/Latino:49; Another/Multiple:12; Asian/Pacific Islander:1","0-4:0; 5-17:0; 18-34:13; 35-49:19; 50-64:86; 65+:568","Female:356; Male:330","","","","","","","curr_hosp:20; Recoveries:12846","10/27/2020"
22,"Arkansas","https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus","1352263","107679; eth_hispanic:17009; eth_nonhispanic:90670",NA,NA,NA,"black:21758; white:64077; na:303; asian:1135; pi:2450; other_race:6321; unk_race:10835","0-10:6144; 11-17:7624; 18-24:16345; 25-34:18259; 35-44:16756; 45-54:15307; 55-64:12513; 65+:14731; unknown:0","male:52838; female:54214; unk_gender:627","",NA,"1857; eth_hispanic:93; eth_nonhispanic:1764","black:342; white:1211; na:4; asian:19; pi:46; other_race:79; unk_race:148","0-10:0; 11-17:0; 18-24:4; 25-34:23; 35-44:46; 45-54:111; 55-64:259; 65+:1414; unknown:0","","case_diabetes:7559; case_cardiac_disease:3496; case_hypertension:13400; case_cpd:2476; case_ckd:864; case_immunocompromised:819","","","","","pdf","","10/27/2020"
23,"New Mexico","https://cvprovider.nmhealth.org/public-dashboard.html#","1124922","42586",NA,NA,NA,"American Indian/Alaska Native:23.36%; Asian:0.79%; Black/African American:1.70%; White:14.25%; Unknown:14.12%; Hispanic/Latino:44.20%","0-9:2261; 10-19:4784; 20-29:8470; 30-39:7686; 40-49:6537; 50-59:5631; 60-69:3843; 70-79:1931; 80-89:1026; 90+:366","Male:49.83%; Female:50.17%","",NA,"976","","","","","4321","","","","public dashboard","recovered:20910; curr_hosp:289","10/26/2020"
24,"Oregon","https://govstatus.egov.com/OR-OHA-COVID-19","834825","42808; eth_Hispanic:15796; eth_Not Hispanic:21514; eth_Not available:5126",NA,NA,NA,"Not available:5100; White:18398; Black:1381; Asian:1175; American Indian/Alaska Native:1022; Paciﬁc Islander:655; Other:13859; Multiracial:846","0 to 9:2067; 10 to 19:4665; 20 to 29:9288; 30 to 39:7622; 40 to 49:6812; 50 to 59:5417; 60 to 69:3368; 70 to 79:2013; 80 and over:1515; Not available:41","Not available:162; Female:22078; Male:20564; Non-binary:4","",NA,"664; eth_Hispanic:85; eth_Not Hispanic:454; eth_Refused/Unknown :116","White:443; Black:13; Asian:20; Other:70; Multiracial:13; AI/AN:12; Pacific Is.:7; Refused/Unknown :77","0 to 9:0; 10 to 19:0; 20 to 29:1; 30 to 39:5; 40 to 49:14; 50 to 59:43; 60 to 69:109; 70 to 79:159; 80 and over:333; Not available:0","Not available:0; Female:294; Male:370; Non-binary:0","","3111; eth_Hispanic:825; eth_Not Hispanic:1994; eth_Refused/Unknown :272","White:1737; Black:122; Asian:106; Other:708; Multiracial:49; AI/AN:99; Pacific Is.:86; Refused/Unknown :184","0 to 9:36; 10 to 19:43; 20 to 29:215; 30 to 39:250; 40 to 49:355; 50 to 59:500; 60 to 69:591; 70 to 79:601; 80 and over:519; Not available:1","Female:1451; Male:1636; Refused/Unknown:4","webpage","avail_Adult ICU beds:173; avail_Adult non-ICU beds:652; avail_Pediatric NICU/PICU beds:124; avail_Pediatric non-ICU beds:108; avail_Ventilators:734; total_Adult ICU beds:709; total_Adult non-ICU beds:4503; total_Pediatric NICU/PICU beds:390; total_Pediatric non-ICU beds:337; curr_Current hospitalized patients:215; curr_Current patients in ICU beds:61; curr_Current patients on ventilators:26","10/27/2020"
